description,merchant
BOJANGLES 08/15 #XXXXX8901 PURCHASE FOOD PHOENIX NC,Bojangles
BOJANGLES 08/15 #XXXXX8901 PURCHASE FOOD SEATTLE NC,Bojangles
CHVRON_GAS147 11/02 #XXXXX2345 PURCHASE FUEL DENVER CO,Chevron
CHVRON_GAS147 11/02 #XXXXX2345 PURCHASE FUEL DENVER CO REF1,Chevron
CHVRON_GAS147 11/02 #XXXXX2345 PURCHASE FUEL DENVER CO REF2,Chevron
CHVRON_GAS147 11/02 #XXXXX2345 PURCHASE FUEL DENVER CO REF3,Chevron
CHVRON_GAS369 11/02 #XXXXX2345 PURCHASE FUEL AUSTIN CO,Chevron
CHVRON_GAS654 11/02 #XXXXX2345 PURCHASE FUEL PHOENIX CO,Chevron
CHVRON_GAS741 11/02 #XXXXX2345 PURCHASE FUEL SEATTLE CO,Chevron
CHVRON_GAS963 11/02 #XXXXX2345 PURCHASE FUEL BOSTON CO,Chevron
CMSVEND*CV AVENEL 190 HOMESTEAD AVE AVENEL 07001 NJ USA REF1,CMS
CMSVEND*CV AVENEL 190 HOMESTEAD AVE AVENEL 07001 NJ USA REF2,CMS
CMSVEND*CV AVENEL 190 HOMESTEAD AVE AVENEL 07001 NJ USA REF3,CMS
DD *STOREKANDAHARAFGHA303 2ND STREETSUITE 800 SAN FRANCISCO94107 CA USA REF1,DoorDash KANDAHAR
DD *STOREKANDAHARAFGHA303 2ND STREETSUITE 800 SAN FRANCISCO94107 CA USA REF2,DoorDash KANDAHAR
DD *STOREKANDAHARAFGHA303 2ND STREETSUITE 800 SAN FRANCISCO94107 CA USA REF3,DoorDash KANDAHAR
GIRL SCOUT COOKIES 7700 EASTPORT PARKWAY 8555304467 48122 MI USA,GIRL SCOUTS
GIRL SCOUT COOKIES 7700 EASTPORT PARKWAY 8555304467 48122 MI USA REF1,GIRL SCOUTS
GIRL SCOUT COOKIES 7700 EASTPORT PARKWAY 8555304467 48122 MI USA REF2,GIRL SCOUTS
GIRL SCOUT COOKIES 7700 EASTPORT PARKWAY 8555304467 48122 MI USA REF3,GIRL SCOUTS
GRUBHUB*TACO PALACE 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA,Grubhub
GRUBHUBGOODFOODBYUZMA 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA REF1,Grubhub GOOD FOOD BY UZMA
GRUBHUBGOODFOODBYUZMA 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA REF2,Grubhub GOOD FOOD BY UZMA
GRUBHUBGOODFOODBYUZMA 1065 AVENUE OF THE AMERI 8775851085 10018 NY USA REF3,Grubhub GOOD FOOD BY UZMA
GS CTRL & SOUTHERN NJ 99 OAK AVE CHERRY HILL 08034 NJ USA,GIRL SCOUTS
GS CTRL &amp; SOUTHERN NJ 40 BRACE ROAD CHERRY HILL 08034 NJ USA REF1,GIRL SCOUTS
GS CTRL &amp; SOUTHERN NJ 40 BRACE ROAD CHERRY HILL 08034 NJ USA REF2,GIRL SCOUTS
GS CTRL &amp; SOUTHERN NJ 40 BRACE ROAD CHERRY HILL 08034 NJ USA REF3,GIRL SCOUTS
GS OF THE JERSEY SHORE242 ADELPHIA ROAD FARMINDALE 07727 NJ USA REF1,GIRL SCOUTS
GS OF THE JERSEY SHORE242 ADELPHIA ROAD FARMINDALE 07727 NJ USA REF2,GIRL SCOUTS
GS OF THE JERSEY SHORE242 ADELPHIA ROAD FARMINDALE 07727 NJ USA REF3,GIRL SCOUTS
GS OF THE JERSEY SHORE999 MAIN ST FARMINGDALE 07727 NJ USA,GIRL SCOUTS
JCKBOX147 12/22 #XXXXX9876 PURCHASE JUMPINJACK DENVER CA,Jack in the Box
JCKBOX369 12/22 #XXXXX9876 PURCHASE JUMPINJACK AUSTIN CA,Jack in the Box
JCKBOX654 01/22 #XXXXX9001 PURCHASE JUMPINJACK BAKERSFIELD CA,Jack in the Box
JCKBOX654 02/22 #XXXXX9002 PURCHASE JUMPINJACK BAKERSFIELD CA,Jack in the Box
JCKBOX654 03/22 #XXXXX9003 PURCHASE JUMPINJACK BAKERSFIELD CA,Jack in the Box
JCKBOX654 12/22 #XXXXX9876 PURCHASE JUMPINJACK PHOENIX CA,Jack in the Box
JCKBOX741 12/22 #XXXXX9876 PURCHASE JUMPINJACK SEATTLE CA,Jack in the Box
JCKBOX963 12/22 #XXXXX9876 PURCHASE JUMPINJACK BOSTON CA,Jack in the Box
MATTEL_147 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA,Mattel
MATTEL_369 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA,Mattel
MATTEL_46 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA REF1,Mattel
MATTEL_46 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA REF2,Mattel
MATTEL_46 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA REF3,Mattel
MATTEL_654 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA,Mattel
MATTEL_741 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA,Mattel
MATTEL_963 03/10 #XXXXX4646 PURCHASE TOYS EL SEGUNDO CA,Mattel
OHAPPYDAY4321 02/10 PURCHASE GIFTS SEATTL WA REF1,Oh Happy Day
OHAPPYDAY4321 02/10 PURCHASE GIFTS SEATTL WA REF2,Oh Happy Day
OHAPPYDAY4321 02/10 PURCHASE GIFTS SEATTL WA REF3,Oh Happy Day
PAYPAL DES:INST XFER ID:ABERCROMBIE INDN:ALEX RIVERA CO ID:PAYPAL58 WEB,Abercrombie & Fitch
PAYPAL DES:INST XFER ID:ABERCROMBIE INDN:JORDAN SMITH CO ID:PAYPAL92 WEB,Abercrombie & Fitch
PAYPAL DES:INST XFER ID:AMERICANEAGLE INDN:ALEX RIVERA CO ID:PAYPAL36 WEB,American Eagle
PAYPAL DES:INST XFER ID:AMERICANEAGLE INDN:JORDAN SMITH CO ID:PAYPAL43 WEB,American Eagle
PAYPAL DES:INST XFER ID:BANANAREPUBLIC INDN:ALEX RIVERA CO ID:PAYPAL80 WEB,Banana Republic
PAYPAL DES:INST XFER ID:BANANAREPUBLIC INDN:JORDAN SMITH CO ID:PAYPAL90 WEB,Banana Republic
PAYPAL DES:INST XFER ID:GAP INDN:ALEX RIVERA CO ID:PAYPAL29 WEB,Gap
PAYPAL DES:INST XFER ID:GAP INDN:JORDAN SMITH CO ID:PAYPAL60 WEB,Gap
PAYPAL DES:INST XFER ID:H&M INDN:ALEX RIVERA CO ID:PAYPAL44 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:CASEY MARTIN CO ID:PAYPAL87 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:JORDAN SMITH CO ID:PAYPAL66 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:MORGAN LEE CO ID:PAYPAL54 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:RILEY JOHNSON CO ID:PAYPAL34 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:TAYLOR NGUYEN CO ID:PAYPAL99 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:USER1 CO ID:PAYPALVN01 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:USER2 CO ID:PAYPALVN02 WEB,H & M
PAYPAL DES:INST XFER ID:H&M INDN:USER3 CO ID:PAYPALVN03 WEB,H & M
PAYPAL DES:INST XFER ID:HMUS INDN:ALEX RIVERA CO ID:PAYPAL27 WEB,H & M
PAYPAL DES:INST XFER ID:HMUS INDN:CASEY MARTIN CO ID:PAYPAL94 WEB,H & M
PAYPAL DES:INST XFER ID:HMUS INDN:JORDAN SMITH CO ID:PAYPAL65 WEB,H & M
PAYPAL DES:INST XFER ID:HMUS INDN:MORGAN LEE CO ID:PAYPAL74 WEB,H & M
PAYPAL DES:INST XFER ID:HMUS INDN:RILEY JOHNSON CO ID:PAYPAL27 WEB,H & M
PAYPAL DES:INST XFER ID:HMUS INDN:TAYLOR NGUYEN CO ID:PAYPAL13 WEB,H & M
PAYPAL DES:INST XFER ID:HOLLISTER INDN:ALEX RIVERA CO ID:PAYPAL42 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:CASEY MARTIN CO ID:PAYPAL26 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:JORDAN SMITH CO ID:PAYPAL70 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:MORGAN LEE CO ID:PAYPAL21 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:PAYER1 CO ID:PAYPALKI01 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:PAYER2 CO ID:PAYPALKI02 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:PAYER3 CO ID:PAYPALKI03 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:RILEY JOHNSON CO ID:PAYPAL87 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTER INDN:TAYLOR NGUYEN CO ID:PAYPAL59 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTERCO INDN:ALEX RIVERA CO ID:PAYPAL62 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTERCO INDN:CASEY MARTIN CO ID:PAYPAL82 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTERCO INDN:JORDAN SMITH CO ID:PAYPAL53 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTERCO INDN:MORGAN LEE CO ID:PAYPAL90 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTERCO INDN:RILEY JOHNSON CO ID:PAYPAL81 WEB,Hollister
PAYPAL DES:INST XFER ID:HOLLISTERCO INDN:TAYLOR NGUYEN CO ID:PAYPAL18 WEB,Hollister
PAYPAL DES:INST XFER ID:JCREW INDN:ALEX RIVERA CO ID:PAYPAL85 WEB,J.Crew
PAYPAL DES:INST XFER ID:JCREW INDN:JORDAN SMITH CO ID:PAYPAL28 WEB,J.Crew
PAYPAL DES:INST XFER ID:MACYS INDN:ALEX RIVERA CO ID:PAYPAL15 WEB,Macy's
PAYPAL DES:INST XFER ID:MACYS INDN:JORDAN SMITH CO ID:PAYPAL65 WEB,Macy's
PAYPAL DES:INST XFER ID:NORDSTROM INDN:ALEX RIVERA CO ID:PAYPAL91 WEB,Nordstrom
PAYPAL DES:INST XFER ID:NORDSTROM INDN:JORDAN SMITH CO ID:PAYPAL72 WEB,Nordstrom
PAYPAL DES:INST XFER ID:OLDNAVY INDN:ALEX RIVERA CO ID:PAYPAL96 WEB,Old Navy
PAYPAL DES:INST XFER ID:OLDNAVY INDN:JORDAN SMITH CO ID:PAYPAL64 WEB,Old Navy
PAYPAL DES:INST XFER ID:SEPHORA INDN:ALEX RIVERA CO ID:PAYPAL72 WEB,Sephora
PAYPAL DES:INST XFER ID:SEPHORA INDN:JORDAN SMITH CO ID:PAYPAL95 WEB,Sephora
PAYPAL DES:INST XFER ID:ULTA INDN:ALEX RIVERA CO ID:PAYPAL93 WEB,Ulta Beauty
PAYPAL DES:INST XFER ID:ULTA INDN:JORDAN SMITH CO ID:PAYPAL48 WEB,Ulta Beauty
PAYPAL DES:INST XFER ID:UNIQLO INDN:ALEX RIVERA CO ID:PAYPAL78 WEB,Uniqlo
PAYPAL DES:INST XFER ID:UNIQLO INDN:JORDAN SMITH CO ID:PAYPAL90 WEB,Uniqlo
PAYPAL DES:INST XFER ID:ZARA INDN:ALEX RIVERA CO ID:PAYPAL80 WEB,Zara
PAYPAL DES:INST XFER ID:ZARA INDN:JORDAN SMITH CO ID:PAYPAL89 WEB,Zara
PNDR_EXPRESS_147 07/06 #XXXXX0234 PURCHASE FAST_FOOD DENVER CA,Panda Express
PNDR_EXPRESS_234 07/06 #XXXXX0234 PURCHASE FAST_FOOD ROSEMEAD CA REF1,Panda Express
PNDR_EXPRESS_234 07/06 #XXXXX0234 PURCHASE FAST_FOOD ROSEMEAD CA REF2,Panda Express
PNDR_EXPRESS_234 07/06 #XXXXX0234 PURCHASE FAST_FOOD ROSEMEAD CA REF3,Panda Express
PNDR_EXPRESS_369 07/06 #XXXXX0234 PURCHASE FAST_FOOD AUSTIN CA,Panda Express
PNDR_EXPRESS_654 07/06 #XXXXX0234 PURCHASE FAST_FOOD PHOENIX CA,Panda Express
PNDR_EXPRESS_741 07/06 #XXXXX0234 PURCHASE FAST_FOOD SEATTLE CA,Panda Express
PNDR_EXPRESS_963 07/06 #XXXXX0234 PURCHASE FAST_FOOD BOSTON CA,Panda Express
RAAVI FOODS LLC OLD BRIDGE NJ REF1,RAAVI NAAN KABAB
RAAVI FOODS LLC OLD BRIDGE NJ REF2,RAAVI NAAN KABAB
RAAVI FOODS LLC OLD BRIDGE NJ REF3,RAAVI NAAN KABAB
RVLTN_CLTH741 06/06 #XXXXX3456 PURCHASE APPAREL ONLINE REF1,Revolution Clothing
RVLTN_CLTH741 06/06 #XXXXX3456 PURCHASE APPAREL ONLINE REF2,Revolution Clothing
RVLTN_CLTH741 06/06 #XXXXX3456 PURCHASE APPAREL ONLINE REF3,Revolution Clothing
SHAKE SHACK 08/15 #XXXXX4567 PURCHASE FOOD NEW YORK NY,Shake Shack
SHEETZ 08/15 PURCHASE AUSTIN PA,Sheetz
SHEETZ 08/15 PURCHASE BOSTON PA,Sheetz
SHEETZ 08/15 PURCHASE DENVER PA,Sheetz
SHEETZ 08/15 PURCHASE PHOENIX PA,Sheetz
SHEETZ 08/15 PURCHASE SEATTLE PA,Sheetz
SHEETZ 08/22 PURCHASE ALTOONA PA REF1,Sheetz
SHEETZ 08/22 PURCHASE ALTOONA PA REF2,Sheetz
SHEETZ 08/22 PURCHASE ALTOONA PA REF3,Sheetz
SPRTS_AUTHRTY369 05/09 #XXXXX3456 PURCHASE EQUIPMENT HOUSTON TX REF1,Sports Authority
SPRTS_AUTHRTY369 05/09 #XXXXX3456 PURCHASE EQUIPMENT HOUSTON TX REF2,Sports Authority
SPRTS_AUTHRTY369 05/09 #XXXXX3456 PURCHASE EQUIPMENT HOUSTON TX REF3,Sports Authority
SPRTS_AUTHRTY963 11/01 #XXXXX7890 PURCHASE EQUIPMENT SEATTLE WA REF1,Sports Authority
SPRTS_AUTHRTY963 11/01 #XXXXX7890 PURCHASE EQUIPMENT SEATTLE WA REF2,Sports Authority
SPRTS_AUTHRTY963 11/01 #XXXXX7890 PURCHASE EQUIPMENT SEATTLE WA REF3,Sports Authority
ST JOHN VIANNEY HS 540A LINE RD 732-7390800 07733 NJ USA REF1,St. John Vianney High School
ST JOHN VIANNEY HS 540A LINE RD 732-7390800 07733 NJ USA REF2,St. John Vianney High School
ST JOHN VIANNEY HS 540A LINE RD 732-7390800 07733 NJ USA REF3,St. John Vianney High School
TRENT_BASS_PRO_047 05/27 #XXXXX8047 PURCHASE OUTDOOR_STORE SPRINGFIELD MO REF1,Bass Pro Shops
TRENT_BASS_PRO_047 05/27 #XXXXX8047 PURCHASE OUTDOOR_STORE SPRINGFIELD MO REF2,Bass Pro Shops
TRENT_BASS_PRO_047 05/27 #XXXXX8047 PURCHASE OUTDOOR_STORE SPRINGFIELD MO REF3,Bass Pro Shops
TRENT_BASS_PRO_099 05/27 #XXXXX8099 PURCHASE OUTDOOR_STORE SPRINGFIELD MO,Bass Pro Shops
