merchant,public_category,root,mid_level,leaf
Acana,Premium Pet Food,Expense,Shopping,Pet Supplies
Ace Hardware,Hardware Store,Expense,Shopping,Home & Garden
Ace Hotel,Boutique Lifestyle Hotel,Expense,Travel,Hotels & Lodging
Acer,Computer Hardware,Expense,Shopping,Electronics
ACH Deposit,Electronic Bank Transfer,Income,Transfers,Deposit
ACLU,Civil Liberties Organization,Expense,Donations & Gifts,Charity & Donations
Acme Bread,Artisan Bread (Berkeley),Expense,Food & Dining,Bakery & Desserts
Acme Markets,Supermarket,Expense,Food & Dining,Groceries
Acne Studios,Contemporary Luxury (Sweden),Expense,Shopping,Clothing & Apparel
Acorn TV,International TV Streaming,Expense,Entertainment,Streaming Video
Acorns,Micro-Investing App,Expense,Financial Services,Banking Fees
ActBlue,Political Fundraising,Expense,Donations & Gifts,Charity & Donations
Action,Discount Variety (Netherlands),Expense,Shopping,General Retail
ActiveCampaign,Email Marketing & CRM,Expense,Technology,Software & SaaS
Activision Blizzard,Game Publisher,Expense,Entertainment,Gaming
Adalo,No-Code Mobile App Builder,Expense,Technology,Software & SaaS
Addison Lee,Private Hire (UK),Expense,Transportation,Rideshare
Adidas,Athletic Apparel & Footwear,Expense,Shopping,Clothing & Apparel
Adidas Training,Workout App,Expense,Entertainment,Sports & Recreation
ADNOC,Gas Station (UAE),Expense,Transportation,Gas & Fuel
Adobe,Creative & Document Software,Expense,Technology,Software & SaaS
Adobe Illustrator,Vector Design Software,Expense,Technology,Software & SaaS
Adobe Lightroom,Photo Management,Expense,Technology,Software & SaaS
Adobe Photoshop,Image Editing Software,Expense,Technology,Software & SaaS
Adobe Premiere,Video Editing Software,Expense,Technology,Software & SaaS
Adolfo Dominguez,Designer Fashion (Spain),Expense,Shopping,Clothing & Apparel
Adonis,Mediterranean Grocery (Canada),Expense,Food & Dining,Groceries
Adorama,Camera & Electronics,Expense,Shopping,Electronics
ADP Payroll,Payroll Processing,Income,Transfers,Deposit
ADT,Home Security System,Expense,Shopping,Electronics
ADT Security,Home Security System,Expense,Housing & Utilities,Home Services
Advance Auto Parts,Auto Parts Retailer,Expense,Transportation,Car Service & Parts
Aegean Airlines,Airline (Greece),Expense,Travel,Airlines
AEON,Hypermarket Chain,Expense,Food & Dining,Groceries
AEP (American Electric Power),Electric Utility,Expense,Housing & Utilities,Utilities
Aer Lingus,Airline (Ireland),Expense,Travel,Airlines
Aerie,Intimates & Loungewear,Expense,Shopping,Clothing & Apparel
Aesop,Premium Skincare & Body (AU),Expense,Health & Wellness,Beauty & Spa
Aetna,Health Insurance,Expense,Financial Services,Banking Fees
Affinity Designer,Vector Design Software,Expense,Technology,Software & SaaS
Affinity Photo,Photo Editing Software,Expense,Technology,Software & SaaS
Affirm,Buy Now Pay Later,Expense,Financial Services,Banking Fees
Afterpay,Buy Now Pay Later,Expense,Financial Services,Banking Fees
Afters Ice Cream,Ice Cream (LA),Expense,Food & Dining,Ice Cream & Yogurt
AG Jeans,Premium Denim,Expense,Shopping,Clothing & Apparel
Age of Learning,Kids Learning (ABCmouse),Expense,Education,Online Learning
Age of Learning (ABCmouse),Children's Learning,Expense,Education,Online Learning
Agoda,Hotel Booking (Asia),Expense,Travel,Hotels & Lodging
Ahold Delhaize,Supermarket Group,Expense,Food & Dining,Groceries
Aimé Leon Dore,NYC Streetwear & Lifestyle,Expense,Shopping,Clothing & Apparel
Air Canada,Major Airline (Canada),Expense,Travel,Airlines
Air China,Major Airline (China),Expense,Travel,Airlines
Air France,Major Airline (France),Expense,Travel,Airlines
Air India,Major Airline (India),Expense,Travel,Airlines
AirAsia,Low-Cost Airline (Asia),Expense,Travel,Airlines
Airbnb,Short-Term Rental Platform,Expense,Travel,Hotels & Lodging
Aire Serv,HVAC Service,Expense,Housing & Utilities,Utilities
AirPods,Wireless Earbuds,Expense,Shopping,Electronics
Airtable,Spreadsheet-Database Hybrid,Expense,Technology,Software & SaaS
Airtel,Telecom (India),Expense,Housing & Utilities,Utilities
Akamai,CDN & Security,Expense,Technology,Software & SaaS
Al Baik,Fast Food Chicken (Saudi Arabia),Expense,Food & Dining,Fast Food
Al Jawahar,Mughlai Restaurant,Expense,Food & Dining,Restaurants
Al Mahara,Fine Dining Seafood,Expense,Food & Dining,Restaurants
Al Maya,Supermarket Chain,Expense,Food & Dining,Groceries
Al Tazaj,Grilled Chicken (Saudi),Expense,Food & Dining,Restaurants
Aladdin's Eatery,Lebanese Restaurant,Expense,Food & Dining,Restaurants
Alamo Drafthouse,Dine-In Movie Theater,Expense,Entertainment,Movies & Events
Alamo Rent A Car,Car Rental,Expense,Travel,Hotels & Lodging
Alaska Airlines,Airline,Expense,Travel,Airlines
Albert Heijn,Supermarket Chain,Expense,Food & Dining,Groceries
Albertsons,Supermarket,Expense,Food & Dining,Groceries
Aldi,Discount Supermarket,Expense,Food & Dining,Groceries
Aldi North,Discount Supermarket,Expense,Food & Dining,Groceries
Aldi South,Discount Supermarket,Expense,Food & Dining,Groceries
Aldi UK,Discount Supermarket,Expense,Food & Dining,Groceries
Aldi US,Discount Grocery & Retail,Expense,Shopping,Home & Garden
Alex,Restaurant & Bar (Germany),Expense,Food & Dining,Restaurants
Alex and Ani,Fashion Jewelry,Expense,Shopping,Clothing & Apparel
Alexander McQueen,Luxury Fashion (UK),Expense,Shopping,Clothing & Apparel
Alfamart,Convenience Store Chain,Expense,Food & Dining,Groceries
AlgoExpert,Coding Interview Prep,Expense,Education,Online Learning
Alibaba,B2B Online Marketplace,Expense,Shopping,General Retail
Alice Pizza,Pizza al Taglio (Italy),Expense,Food & Dining,Restaurants
AliExpress,Online Marketplace (China),Expense,Shopping,General Retail
Alinea,Fine Dining (Chicago),Expense,Food & Dining,Restaurants
Alitalia/ITA,Airline (Italy),Expense,Travel,Airlines
All 4,Streaming (UK),Expense,Entertainment,Streaming Video
All-Clad,Premium Cookware,Expense,Shopping,Home & Garden
Allbirds,Sustainable Footwear DTC,Expense,Shopping,Clothing & Apparel
Allegiant Air,Ultra-Low-Cost Airline,Expense,Travel,Airlines
Allen Edmonds,Dress Shoes,Expense,Shopping,Clothing & Apparel
Allen Solly,Indian Casual Fashion,Expense,Shopping,Clothing & Apparel
Allpress Espresso,Specialty Coffee (NZ),Expense,Food & Dining,Coffee & Tea
AllSaints,Contemporary Fashion (UK),Expense,Shopping,Clothing & Apparel
Allstate,Auto & Home Insurance,Expense,Housing & Utilities,Utilities
Allsup's,Convenience Store,Expense,Food & Dining,Groceries
Ally Bank,Online Bank,Expense,Financial Services,Banking Fees
Alnatura,Organic Grocery (Germany),Expense,Food & Dining,Groceries
Alo Yoga,Premium Yoga Apparel,Expense,Shopping,Clothing & Apparel
Aloft Hotels,Boutique Hotel,Expense,Travel,Hotels & Lodging
Altice/Optimum,Cable & Internet,Expense,Housing & Utilities,Utilities
Alto Pharmacy,Digital Pharmacy,Expense,Health & Wellness,Pharmacy
Alton Towers,Theme Park (UK),Expense,Entertainment,Amusement & Parks
Altra Running,Zero-Drop Running Shoes,Expense,Shopping,Sporting Goods
Aman Resorts,Ultra-Luxury Resort,Expense,Travel,Hotels & Lodging
Aman Tokyo,Ultra-Luxury (Japan),Expense,Travel,Hotels & Lodging
Amazon,Online Marketplace,Expense,Shopping,General Retail
Amazon Kindle,E-Book Store,Expense,Shopping,Books & Media
Amazon Music,Music Streaming,Expense,Shopping,Books & Media
Amazon Pharmacy,Online Pharmacy,Expense,Health & Wellness,Pharmacy
Amazon Prime,Subscription Service,Expense,Food & Dining,Restaurants
Amazon Prime Video,Video Streaming Service,Expense,Entertainment,Streaming Video
AMC Theatres,Movie Theater Chain,Expense,Entertainment,Movies & Events
AMC+,Streaming Service,Expense,Entertainment,Streaming Video
AMD,Semiconductor Manufacturer,Expense,Shopping,Electronics
Ameren,Electric & Gas Utility,Expense,Housing & Utilities,Utilities
America's Tire,Tire Retailer,Expense,Transportation,Car Service & Parts
American Airlines,Major Airline,Expense,Travel,Airlines
American Cancer Society,Cancer Research,Expense,Donations & Gifts,Charity & Donations
American Eagle,Casual Apparel,Expense,Shopping,Clothing & Apparel
American Express,Credit Card & Financial,Expense,Financial Services,Banking Fees
American Family Insurance,Insurance,Expense,Housing & Utilities,Utilities
American Girl,Premium Dolls & Accessories,Expense,Kids & Family,Toys & Activities
American Water Works,Water Utility,Expense,Housing & Utilities,Utilities
AmeriHost,Economy Hotel,Expense,Travel,Hotels & Lodging
AMI Paris,Contemporary Fashion (France),Expense,Shopping,Clothing & Apparel
Amorepacific,K-Beauty Conglomerate,Expense,Health & Wellness,Beauty & Spa
Amorino,Italian Gelato Chain,Expense,Food & Dining,Ice Cream & Yogurt
Ample Hills Creamery,Artisan Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Amplitude,Product Analytics,Expense,Technology,Software & SaaS
Amwell,Telehealth Platform,Expense,Financial Services,Banking Fees
Amy's Bread,Artisan Bakery (NYC),Expense,Food & Dining,Bakery & Desserts
Amy's Ice Creams,Ice Cream (Austin),Expense,Food & Dining,Ice Cream & Yogurt
América Móvil,Telecom (Latin America),Expense,Housing & Utilities,Utilities
ANA,Major Airline (Japan),Expense,Travel,Airlines
Anaconda,Outdoor Gear (Australia),Expense,Shopping,Sporting Goods
Andaz,Luxury Boutique Hotel,Expense,Travel,Hotels & Lodging
Andretti Indoor Karting,Indoor Karting,Expense,Entertainment,Amusement & Parks
Andy's Frozen Custard,Frozen Custard Chain,Expense,Food & Dining,Ice Cream & Yogurt
Angel-in-us Coffee,Coffee Chain (Korea),Expense,Food & Dining,Coffee & Tea
Angelina Paris,French Tea Room & Patisserie,Expense,Food & Dining,Bakery & Desserts
Angels Cup,Coffee Subscription,Expense,Food & Dining,Coffee & Tea
Angi,Home Service Marketplace,Expense,Housing & Utilities,Home Services
Angi (Angie's List),Home Service Marketplace,Expense,Housing & Utilities,Utilities
Anker,Charging & Audio Accessories,Expense,Shopping,Electronics
Another Broken Egg,Breakfast & Brunch,Expense,Food & Dining,Restaurants
Another Broken Egg Cafe,Breakfast & Brunch,Expense,Food & Dining,Restaurants
Ant Financial/Alipay,Digital Payment (China),Expense,Financial Services,Banking Fees
Anthem,Health Insurance,Expense,Financial Services,Banking Fees
Anthropic,AI Research,Expense,Technology,Software & SaaS
Anthropologie Home,Bohemian Home Décor,Expense,Shopping,Home & Garden
Anytime Fitness,Gym Franchise,Expense,Entertainment,Sports & Recreation
APA Hotels,Hotel Chain (Japan),Expense,Travel,Hotels & Lodging
Apollo Pharmacy,Pharmacy (India),Expense,Health & Wellness,Pharmacy
Apotea,Online Pharmacy (Sweden),Expense,Health & Wellness,Pharmacy
Apotek Hjärtat,Pharmacy (Sweden),Expense,Health & Wellness,Pharmacy
Apple,Consumer Electronics & Software,Expense,Shopping,Electronics
Apple AirTag,Item Tracker,Expense,Shopping,Electronics
Apple Books,E-Book Store,Expense,Shopping,Books & Media
Apple Fitness+,Fitness Streaming,Expense,Entertainment,Sports & Recreation
Apple iCloud,Cloud Storage,Expense,Technology,Software & SaaS
Apple Music,Music Streaming,Expense,Shopping,Books & Media
Apple One,Apple Services Bundle,Expense,Food & Dining,Restaurants
Apple TV,Streaming Device,Expense,Shopping,Electronics
Apple TV+,Video Streaming Service,Expense,Entertainment,Streaming Video
Apple Watch,Smartwatch,Expense,Shopping,Clothing & Apparel
Applebee's,Casual Dining Restaurant,Expense,Food & Dining,Restaurants
AQR Capital,Quantitative Investment,Expense,Financial Services,Banking Fees
Arabica,Coffee & Food (ME),Expense,Food & Dining,Restaurants
Aral,Gas Station (Germany),Expense,Transportation,Gas & Fuel
Arby's,Fast Food Roast Beef,Expense,Food & Dining,Fast Food
Arc'teryx,Premium Outdoor Apparel,Expense,Shopping,Clothing & Apparel
Arhaus,Artisan Home Furnishings,Expense,Shopping,Home & Garden
Arizmendi Bakery,Cooperative Bakery (SF),Expense,Food & Dining,Bakery & Desserts
Arket,Lifestyle Brand (H&M Group),Expense,Shopping,Clothing & Apparel
Arlo,Smart Home Security,Expense,Shopping,Electronics
Around,Video Conferencing,Expense,Technology,Software & SaaS
Arro,Taxi App,Expense,Transportation,Rideshare
Art Van Furniture,Furniture,Expense,Shopping,Home & Garden
Artichoke Pizza,NYC Slice Shop,Expense,Food & Dining,Restaurants
Article,DTC Modern Furniture,Expense,Shopping,Home & Garden
Asana,Project Management,Expense,Technology,Software & SaaS
Ascend Collection,Boutique Collection,Expense,Travel,Hotels & Lodging
Asda,Supermarket Chain,Expense,Food & Dining,Groceries
Ashley Furniture,Furniture Retailer,Expense,Shopping,Home & Garden
Ashley HomeStore,Furniture Retailer,Expense,Shopping,Home & Garden
Asiana Airlines,Airline (Korea),Expense,Travel,Airlines
ASICS,Athletic Footwear,Expense,Shopping,Clothing & Apparel
ASK Italian,Italian Restaurant (UK),Expense,Food & Dining,Restaurants
ASKUL,Office Supplies (Japan),Expense,Shopping,Office Supplies
ASOS,Online Fashion Retailer,Expense,Shopping,Clothing & Apparel
ASPCA,Animal Welfare,Expense,Donations & Gifts,Charity & Donations
Assembly Coffee,Specialty Coffee (London),Expense,Food & Dining,Coffee & Tea
Assi Plaza,Korean Supermarket,Expense,Food & Dining,Groceries
Associated Wholesale Grocers,Wholesale Grocery,Expense,Food & Dining,Groceries
ASUS,Computer Hardware,Expense,Shopping,Electronics
At Home,Home Décor Superstore,Expense,Shopping,Home & Garden
AT&T,Telecom & Internet,Expense,Housing & Utilities,Utilities
AT&T Wireless,Wireless Carrier,Expense,Housing & Utilities,Utilities
Athleta,Women's Athletic Apparel,Expense,Shopping,Clothing & Apparel
Athletic Greens/AG1,Greens Supplement,Expense,Health & Wellness,Health Products
Atlanta Bread Company,Bakery Cafe,Expense,Food & Dining,Bakery & Desserts
Atlas Coffee Club,Coffee Subscription,Expense,Food & Dining,Coffee & Tea
Atlus,Game Developer (Persona),Expense,Entertainment,Gaming
Atmos Energy,Natural Gas Utility,Expense,Housing & Utilities,Utilities
Atomos,Video Monitors & Recorders,Expense,Shopping,Electronics
ATU,Auto Parts & Service (Germany),Expense,Transportation,Car Service & Parts
Au Bon Pain,Bakery Cafe Chain,Expense,Food & Dining,Bakery & Desserts
Auberge Resorts,Luxury Resort Collection,Expense,Travel,Hotels & Lodging
Auchan,Hypermarket Chain,Expense,Food & Dining,Groceries
Audi Service,Automobile Dealer Service,Expense,Transportation,Car Service & Parts
Audible,Audiobook Service,Expense,Shopping,Books & Media
Audio-Technica,Audio Equipment (Japan),Expense,Shopping,Electronics
August Home,Smart Lock,Expense,Shopping,Electronics
August Smart Lock,Smart Lock,Expense,Housing & Utilities,Home Services
Augustiner-Keller,Beer Hall (Munich),Expense,Food & Dining,Restaurants
Auntie Anne's,Soft Pretzel Chain,Expense,Food & Dining,Fast Food
Austrian Airlines,Airline (Austria),Expense,Travel,Airlines
Auto-Owners Insurance,Insurance,Expense,Housing & Utilities,Utilities
Autograph Collection,Independent Luxury,Expense,Travel,Hotels & Lodging
AutoZone,Auto Parts Retailer,Expense,Transportation,Car Service & Parts
Avia,Gas Station (EU),Expense,Transportation,Gas & Fuel
Avianca,Airline (Colombia),Expense,Travel,Airlines
Avis,Car Rental,Expense,Travel,Hotels & Lodging
AWS,Cloud Computing (Amazon),Expense,Technology,Software & SaaS
Axel Arigato,Luxury Sneakers (Sweden),Expense,Shopping,Clothing & Apparel
AXS,Event Ticketing,Expense,Entertainment,Movies & Events
Azul Airlines,Airline (Brazil),Expense,Travel,Airlines
B&H Photo,Electronics & Camera,Expense,Shopping,Electronics
B&M Bargains,Discount Variety (UK),Expense,Shopping,General Retail
B&Q,Home Improvement (UK),Expense,Shopping,Home & Garden
Ba&sh,French Bohemian Fashion,Expense,Shopping,Clothing & Apparel
Babbel,Language Learning App,Expense,Education,Online Learning
Baby Jogger,Stroller Brand,Expense,Kids & Family,Toys & Activities
Babyganics,Baby Skincare & Cleaning,Expense,Kids & Family,Toys & Activities
Babylist,Baby Registry,Expense,Kids & Family,Toys & Activities
Bacio di Latte,Gelato (Brazil),Expense,Food & Dining,Ice Cream & Yogurt
Badcock Home Furniture,Furniture,Expense,Shopping,Home & Garden
Baedal Minjok,Food Delivery (Korea),Expense,Food & Dining,Food Delivery
Baekjeong,Korean BBQ Chain,Expense,Food & Dining,Restaurants
Bagel Boss,Bagel Shop (NYC),Expense,Food & Dining,Bakery & Desserts
Bahama Breeze,Caribbean Restaurant,Expense,Food & Dining,Restaurants
Bahama Buck's,Shaved Ice Chain,Expense,Food & Dining,Ice Cream & Yogurt
Baja Fresh,Fast Casual Mexican,Expense,Food & Dining,Fast Food
Baked,Bakery (Brooklyn),Expense,Food & Dining,Bakery & Desserts
Baked by Melissa,Mini Cupcake Bakery,Expense,Food & Dining,Bakery & Desserts
Bakehouse,Artisan Bakery,Expense,Food & Dining,Bakery & Desserts
Balducci's,Gourmet Food Market,Expense,Food & Dining,Groceries
Balenciaga,Luxury Fashion (Spain),Expense,Shopping,Clothing & Apparel
Balzac Coffee,Coffee Chain (Germany),Expense,Food & Dining,Coffee & Tea
Bamiyan,Chinese Restaurant (Japan),Expense,Food & Dining,Restaurants
Banana Leaf,Malaysian Restaurant,Expense,Food & Dining,Restaurants
Banana Republic,Premium Casual Apparel,Expense,Shopping,Clothing & Apparel
Bandai Namco,Game Publisher (Japan),Expense,Entertainment,Gaming
Bandcamp,Indie Music Marketplace,Expense,Shopping,Books & Media
Banfield Pet Hospital,Veterinary Clinic Chain,Expense,Shopping,Pet Supplies
Bang & Olufsen,Premium Audio (Denmark),Expense,Shopping,Electronics
Bank of America,Major Bank,Expense,Financial Services,Banking Fees
Banyan Tree,Luxury Resort,Expense,Travel,Hotels & Lodging
Bar Pizza,South Shore Pizza (MA),Expense,Food & Dining,Restaurants
Barbeque Nation,Indian BBQ Chain,Expense,Food & Dining,Restaurants
Barbie,Doll Brand (Mattel),Expense,Kids & Family,Toys & Activities
Barclays,Bank (UK),Expense,Financial Services,Banking Fees
BarkBox,Dog Subscription Box,Expense,Shopping,Pet Supplies
Barnes & Noble,Book Retailer,Expense,Shopping,Books & Media
Barneys New York,Luxury Department,Expense,Shopping,General Retail
Barre3,Barre Fitness Studio,Expense,Entertainment,Sports & Recreation
Barry's Bootcamp,Fitness Studio,Expense,Entertainment,Sports & Recreation
BART,Bay Area Rapid Transit,Expense,Transportation,Public Transit
Basic-Fit,Gym Chain (EU),Expense,Entertainment,Sports & Recreation
Baskin-Robbins,Ice Cream Chain,Expense,Food & Dining,Ice Cream & Yogurt
Bass Pro Shops,Outdoor & Fishing,Expense,Shopping,Clothing & Apparel
Bath & Body Works,Bath & Body Products,Expense,Health & Wellness,Beauty & Spa
Bauer Hockey,Hockey Equipment,Expense,Shopping,Sporting Goods
Bauhaus,Home Improvement (Germany),Expense,Shopping,Home & Garden
Bay Wheels,Bike Share (SF),Expense,Transportation,Rideshare
Baymont,Budget Hotel,Expense,Travel,Hotels & Lodging
bb.q Chicken,Korean Fried Chicken,Expense,Food & Dining,Restaurants
BBQ Chicken Korea,Fried Chicken (Korea),Expense,Food & Dining,Restaurants
BBVA,Bank (Spain),Expense,Financial Services,Banking Fees
BCF,Boating Camping Fishing (AU),Expense,Shopping,Sporting Goods
Bean Box,Coffee Subscription,Expense,Food & Dining,Coffee & Tea
Bear App,Markdown Notes App,Expense,Technology,Software & SaaS
Beard Papa's,Japanese Cream Puff Chain,Expense,Food & Dining,Bakery & Desserts
Beardbrand,Men's Grooming,Expense,Health & Wellness,Beauty & Spa
Beat,Ride-Hailing (Latin Am/Greece),Expense,Transportation,Rideshare
Beats by Dre,Headphones & Audio,Expense,Shopping,Electronics
BECU,Credit Union,Expense,Financial Services,Banking Fees
Bed Bath & Beyond,Home Goods Retailer,Expense,Shopping,Home & Garden
Beefeater,Restaurant & Pub (UK),Expense,Food & Dining,Restaurants
Beehiiv,Newsletter Platform,Expense,Technology,Software & SaaS
Behrouz Biryani,Biryani Delivery,Expense,Food & Dining,Restaurants
Beigel Bake,Bagel Shop (London),Expense,Food & Dining,Bakery & Desserts
beIN Sports,Sports Streaming (ME/EU),Expense,Entertainment,Streaming Video
Belkin,Tech Accessories,Expense,Shopping,Electronics
Bella Italia,Italian Restaurant (UK),Expense,Food & Dining,Restaurants
Belmond,Luxury Hotel & Train,Expense,Travel,Hotels & Lodging
Ben & Jerry's,Premium Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Benetton,Fashion Brand (Italy),Expense,Shopping,Clothing & Apparel
Benihana,Japanese Teppanyaki Restaurant,Expense,Food & Dining,Restaurants
Benjamin Franklin Plumbing,Plumbing,Expense,Housing & Utilities,Utilities
Bergdorf Goodman,Luxury Department,Expense,Shopping,General Retail
Berghaus,Outdoor Brand (UK),Expense,Shopping,Clothing & Apparel
Berkeley Bowl,Specialty Produce Market,Expense,Food & Dining,Groceries
Berlitz,Language & Business Training,Expense,Education,Online Learning
Bern's Steak House,Fine Dining,Expense,Food & Dining,Restaurants
Bershka,Youth Fashion (Inditex),Expense,Shopping,Clothing & Apparel
Bertucci's,Italian Restaurant,Expense,Food & Dining,Restaurants
Best Buy,Consumer Electronics Retailer,Expense,Shopping,Electronics
Best Friends Animal Society,Animal Rescue,Expense,Donations & Gifts,Charity & Donations
Bethesda,Game Developer (Elder Scrolls),Expense,Entertainment,Gaming
Better World Books,Online Used Books,Expense,Shopping,Books & Media
BetterHelp,Online Therapy Platform,Expense,Health & Wellness,Health Products
Betterment,Robo-Advisor,Expense,Financial Services,Banking Fees
BetterVet,Mobile Veterinary,Expense,Shopping,Pet Supplies
Betty's Burgers,Burger (Australia),Expense,Food & Dining,Restaurants
Bharat Petroleum,Gas Station (India),Expense,Transportation,Gas & Fuel
BHC Chicken,Fried Chicken (Korea),Expense,Food & Dining,Restaurants
Bi-Lo,Supermarket,Expense,Food & Dining,Groceries
Bi-Rite Creamery,Ice Cream (SF),Expense,Food & Dining,Ice Cream & Yogurt
Bi-Rite Market,Specialty Grocery (SF),Expense,Food & Dining,Groceries
Biba,Indian Women's Fashion,Expense,Shopping,Clothing & Apparel
Bic Camera,Electronics (Japan),Expense,Shopping,Electronics
Bicing,Bike Share (Barcelona),Expense,Transportation,Rideshare
Biedronka,Discount Supermarket,Expense,Food & Dining,Groceries
Bien Cuit,French Bakery (Brooklyn),Expense,Food & Dining,Bakery & Desserts
Big 5 Sporting Goods,Sporting Goods,Expense,Shopping,Sporting Goods
Big Agnes,Tents & Sleeping Bags,Expense,Shopping,Sporting Goods
Big Basket,Online Grocery Delivery,Expense,Food & Dining,Groceries
Big Brothers Big Sisters,Youth Mentoring,Expense,Donations & Gifts,Charity & Donations
Big C,Hypermarket Chain,Expense,Food & Dining,Groceries
Big Fernand,Gourmet Burger (France),Expense,Food & Dining,Restaurants
Big Green Egg,Ceramic Grill,Expense,Shopping,Electronics
Big Lots,Discount Retailer,Expense,Shopping,General Retail
Big O Tires,Tire & Auto Service,Expense,Transportation,Car Service & Parts
Big Shoulders Coffee,Coffee (Chicago),Expense,Food & Dining,Coffee & Tea
BigCommerce,E-Commerce Platform,Expense,Technology,Software & SaaS
Biggby Coffee,Coffee Chain,Expense,Food & Dining,Coffee & Tea
Bikram Yoga,Hot Yoga Studio,Expense,Entertainment,Sports & Recreation
Bilibili,Video Streaming (China),Expense,Entertainment,Streaming Video
Bill's Restaurant,British Restaurant,Expense,Food & Dining,Restaurants
Billa,Supermarket Chain,Expense,Food & Dining,Groceries
Binance,Cryptocurrency Exchange,Expense,Financial Services,Banking Fees
Binge,Video Streaming (Australia),Expense,Entertainment,Streaming Video
Bingsu King,Korean Shaved Ice,Expense,Food & Dining,Ice Cream & Yogurt
Biocoop,Organic Cooperative (France),Expense,Food & Dining,Groceries
Birch Coffee,Coffee Chain (NYC),Expense,Food & Dining,Coffee & Tea
Bird,Electric Scooter Rental,Expense,Transportation,Rideshare
Birkenstock,Comfort Sandals,Expense,Shopping,Clothing & Apparel
Biryani Blues,Indian Biryani,Expense,Food & Dining,Restaurants
Biscuitville,Breakfast Restaurant,Expense,Food & Dining,Restaurants
Bissell,Vacuum & Floor Care,Expense,Housing & Utilities,Home Services
Bitbucket,Code Hosting (Atlassian),Expense,Technology,Software & SaaS
Bitdefender,Cybersecurity Software,Expense,Technology,Software & SaaS
Bitwarden,Password Manager,Expense,Technology,Software & SaaS
BJ's Gas,Wholesale Club Gas,Expense,Transportation,Gas & Fuel
BJ's Membership,Warehouse Club,Expense,Food & Dining,Restaurants
BJ's Restaurant,Casual Dining & Brewhouse,Expense,Food & Dining,Restaurants
BJ's Wholesale,Wholesale Club,Expense,Shopping,Home & Garden
BJ's Wholesale Club,Wholesale Club,Expense,Food & Dining,Groceries
Black Bear Diner,Family Diner,Expense,Food & Dining,Restaurants
Black Diamond,Climbing & Skiing Gear,Expense,Shopping,Sporting Goods
