description,merchant
**ID012345|07/24|**2345|EUR75.50|CARREFR|GROCERY|PURCHASE|PRSFRCE,Carrefour
**ID012345|08/09|**2345|USD56.78|DOLLARTREE|RETAIL|PURCHASE|FLNTMI,DOLLAR TREE
**ID012345|08/21|**0123|TRY250|A101|GROCERY|PURCHASE|ISTANBULTR,A101
**ID012345|08/28|**2345|USD78.25|TJMAXX|RETAIL|PURCHASE|PHNXAZ,T.J. Maxx
**ID012345|09/11|**9012|EUR59.75|SPAR|GROCERY|PURCHASE|VIENAU,SPAR
**ID012345|09/18|**2345|USD90.12|TJMAXX|RETAIL|PURCHASE|PRVDNCERI,T.J. Maxx
**ID012345|09/30|**0123|BRL250|CARREFOUR|GROCERY|PURCHASE|SAOPAULOBR,Carrefour
**ID012345|10/08|**2345|USD23.45|SEPHORA|BEAUTY|PURCHASE|FRSNOCA,Sephora
**ID012345|10/29|**0123|USD42.75|WALGREENS|HEALTH|PURCHASE|CHICAGOIL,Walgreens
**ID012345|10/29|**2345|USD12.34|OLDNAVY|RETAIL|PURCHASE|SNTBRBRA,Old Navy
**ID012345|11/04|**9012|EUR62.40|MONOPRIX|GROCERY|PURCHASE|PARSFR,Monoprix
**ID012345|11/18|**0123|AUD52.75|COLES|GROCERY|PURCHASE|MELBOURNEAU,Coles
**ID012345|11/21|**2345|CAD110.25|SHOPPERS|HEALTH|PURCHASE|TRONTOON,Shoppers Drug Mart
**ID012345|11/21|**2345|NZD220|COUNTDOWN|GROCERY|PURCHASE|AUCKLANDNZ,Countdown
**ID012345|12/08|**0123|USD31.99|RITE AID|HEALTH|PURCHASE|LOSANGELESCA,Rite Aid
**ID012345|12/26|**2345|EUR68.25|AUCHAN|GROCERY|PURCHASE|PRSFRCE,Auchan
**ID012345|12/31|**2345|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN,Big Basket
**ID012345|12/31|**2345|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN REF1,Big Basket
**ID012345|12/31|**2345|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN REF2,Big Basket
**ID012345|12/31|**2345|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN REF3,Big Basket
**ID015496|02/01|**5496|USD14.99|SHUTTERFLY|PHOTO|PURCHASE|REDWOODCITYCA,Shutterfly
**ID024579|03/03|**4579|USD444.99|HP|TECH|PURCHASE|PALOALTOSJ,HP
**ID024680|01/14|**2468|USD250.00|INTC|TECH|PURCHASE|SNCLRCA,Intel
**ID024680|03/05|**2468|USD200.00|INTC|TECH|PURCHASE|SNCLRCA,Intel
**ID024680|04/24|**2468|USD50.00|INTC|TECH|PURCHASE|SNCLRCA,Intel
**ID024680|05/19|**2468|USD75.00|NVDA|TECH|PURCHASE|SNTCLCA,NVIDIA
**ID024680|08/02|**4680|USD899.99|AAPL|TECH|PURCHASE|CPRTNCA,Apple
**ID024680|10/16|**4680|USD699.99|GOOGL|TECH|PURCHASE|MNTNVWCA,Google
**ID024680|10/31|**2468|USD50.00|ADBE|TECH|PURCHASE|SNJSECA,Adobe
**ID024680|10/31|**4680|USD180.00|ADBE|TECH|PURCHASE|SNJSECA,Adobe
**ID024680|10/31|**9876|USD50.00|LYFT|TRNSP|SERVICE|SNFRNCA,Lyft
**ID024680|11/10|**4680|USD999.99|NTFLX|TECH|PURCHASE|LSGNLCA,Netflix
**ID024680|11/25|**2468|USD75.00|INTC|TECH|PURCHASE|SNCLRCA,Intel
**ID024680|12/05|**4680|USD699.99|ADBE|TECH|PURCHASE|SNJSCA,Adobe
**ID024680|12/20|**2468|USD150.00|NVDA|TECH|PURCHASE|SNTCLCA,NVIDIA
**ID024680|12/30|**4680|USD599.99|SONY|TECH|PURCHASE|TKYOJP,Sony
**ID024681|10/22|**1357|USD75.00|CSTCO|RETAIL|PURCHASE|ISSAQWA,Costco
**ID025968|02/16|**5968|USD25.99|OFFICEDEPOT|SUPPLY|PURCHASE|BOCARATONFL,Office Depot
**ID027546|03/11|**7546|USD20.99|NYTIMESCROSSWORD|GAMES|SUBSCR|NEWYORKNY,New York Times
**ID028374|06/01|**8374|USD89.99|OMRON|HEALTH|PURCHASE|KYOTO_JP,Omron
**ID048792|05/10|**8792|USD1.99|GOODREADS|BOOKS|PURCHASE|AUSTRALIA,Goodreads
**ID086421|10/29|**3579|USD299.99|BSTBY|TECH|PURCHASE|RICHFVA,Best Buy
**ID098567|01/18|**8567|USD9.99|AMZN|BOOK|PURCHASE|USSEA,Amazon
**ID109974|05/02|**9974|USD4999.99|TESLA|TECH|PURCHASE|PALO_ALTO_US,Tesla
**ID123456|01/08|**3456|MYR300|GIANT|GROCERY|PURCHASE|KUALALUMPURMY,Giant
**ID123456|02/17|**3456|CLP50000|JUMBO|GROCERY|PURCHASE|SANTIAGOCL,Jumbo
**ID123456|03/29|**3456|MKD3000|TINEX|GROCERY|PURCHASE|SKOPJEMK,Tinex
**ID123456|04/05|**2345|SGD85.30|NTUC FAIRPRICE|GROCERY|PURCHASE|SNGPSG,Fairprice
**ID123456|04/27|**4567|AUD75|WOOLWORTHS|GROCERY|PURCHASE|SYDNEYAU,Woolworths
**ID123456|05/30|**3456|TRY450|MIGROS|GROCERY|PURCHASE|ISTBTR,Migros
**ID123456|06/06|**4567|CHF50|MIGROS|GROCERY|PURCHASE|ZURICHCH,Migros
**ID123456|07/16|**4567|SGD50|NTUC FAIRPRICE|GROCERY|PURCHASE|SINGAPORESG,Fairprice
**ID123456|07/24|**3456|SGD75.60|NTUC FAIRPRICE|GROCERY|PURCHASE|SNGPSG,Fairprice
**ID123456|08/25|**4567|AED175|SPINNEYS|GROCERY|PURCHASE|DUBAIAE,Spinneys
**ID123456|09/15|**3456|USD42.75|STRBCKS|FOOD|PURCHASE|NWYRKNY,Starbucks
**ID123456|09/17|**3456|EUR64.20|ALBERT HEIJN|GROCERY|PURCHASE|AMSDNL,Albert Heijn
**ID123456|10/01|**5678|USD89.99|AMZN|RETAIL|PURCHASE|SEATTLEWA,Amazon
**ID123456|10/04|**4567|MXN700|WALMART|GROCERY|PURCHASE|MEXICOCITYMX,Walmart
**ID123456|10/20|**3456|USD89.99|AMZN|ELECTRONICS|PURCHASE|SEATTLEWA,Amazon
**ID123456|11/10|**3456|KRW75000|E-MART|GROCERY|PURCHASE|SEOLKR,E-Mart
**ID123456|11/29|**3456|SEK1000|ICA|GROCERY|PURCHASE|STOCKHOLMSE,ICA
**ID125490|03/05|**5490|USD9.99|GROUPON|DEALS|PURCHASE|CHICAGOIL,Groupon
**ID125798|01/29|**5798|USD120|RALPH_LAUREN|APPAREL|PURCHASE|USNYC,Ralph Lauren
**ID134690|07/03|**4690|USD70|ABERCROMBIE&FITCH|APPAREL|PURCHASE|NEWALBANY,Abercrombie & Fitch
**ID135790|05/22|**5790|USD12.99|NFLX|ENTMT|SUBSCR|LSGNLCA,Netflix
**ID135790|07/11|**5790|USD13.99|DSCVR|ENTMT|SUBSCR|SLVRSPRMD,Discovery+
**ID135790|09/21|**2468|USD75.25|BSTBUY|ELEC|PURCHASE|ATLANGA,Best Buy
**ID135790|10/19|**5790|USD16.99|HBO|ENTMT|SUBSCR|SNMNCA,HBO
**ID135790|10/24|**6428|USD210.50|BARNES|BOOKS|PURCHASE|NYC,Barnes & Noble
**ID135790|11/13|**5790|USD15.99|HBOMAX|ENTMT|SUBSCR|BRBKCA,HBO
**ID135790|12/08|**5790|USD16.99|NFLX|ENTMT|SUBSCR|LSGNLCA,Netflix
**ID135791|01/17|**3579|USD14.99|DSNP|ENTMT|SUBSCR|BURBNCA,Disney+
**ID135791|04/02|**3579|USD14.99|DSNP|ENTMT|SUBSCR|BURBNCA,Disney+
**ID135791|04/27|**3579|USD12.99|DSNP|ENTMT|SUBSCR|BURBNCA,Disney+
**ID135791|11/03|**2468|USD40.25|AAPL|ENTMT|SUBSCR|CUPERCA,Apple
**ID135791|11/03|**9753|USD17.99|HBO|ENTMT|SUBSCR|NWYRKNY,HBO
**ID135791|11/28|**3579|USD14.99|DSNP|ENTMT|SUBSCR|BURBNCA,Disney+
**ID135792|10/11|**8024|USD150.00|AMZN|RETAIL|PURCHASE|SEATTWA,Amazon
**ID135794|01/24|**5794|USD1099.99|GOOGLE|TECH|PURCHASE|USMV,Google
**ID137845|05/26|**7845|USD49.99|PROACTIVE|COSMETICS|SUBSCR|DESPLAINES,Proactive
**ID143560|03/09|**3560|USD649.99|DELL|TECH|PURCHASE|AUSTINTX,Dell
**ID145789|01/22|**5789|USD19.99|HBOMAX|ENTMT|SUBSCR|USBURB,HBO
**ID147258|01/07|**7258|USD9.99|SPOT|ENTMT|SUBSCR|STCKHLM,Spotify
**ID147258|01/23|**7258|USD1299.99|LG|TECH|PURCHASE|SEOULKR,LG
**ID147258|04/23|**7258|USD499.99|APPL|TECH|PURCHASE|CPRTNCA,Apple
**ID147258|04/25|**3698|USD9.99|DSNEYP|ENTMT|SUBSCR|ORLANDO,Disney+
**ID147258|12/08|**7258|USD59.99|ETSYCOM|RETAIL|PURCHASE|BRKLYN,Etsy
**ID147369|01/25|**7369|USD149.99|BOSE|TECH|PURCHASE|FRMNGHMMA,Bose
**ID147369|01/27|**7369|USD4.99|AAPL|ENTMT|SUBSCR|CUPRTNO,Apple
**ID147369|02/10|**7369|USD699.99|APPL|TECH|PURCHASE|CPRTNCA,Apple
**ID147369|03/14|**7369|USD179.99|BOSE|TECH|PURCHASE|FRMNGHMMA,Bose
**ID147369|05/01|**7369|USD199.99|BOSE|TECH|PURCHASE|FRMNGHMMA,Bose
**ID147369|05/11|**7369|USD1199.99|LG|TECH|PURCHASE|SEOULKR,LG
**ID147369|05/27|**7369|USD19.99|HBO|ENTMT|SUBSCR|ATLNGA,HBO
**ID147369|06/18|**7369|USD219.99|BOSE|TECH|PURCHASE|FRMNGHMMA,Bose
**ID147369|07/04|**7369|USD299.99|APPL|TECH|PURCHASE|CPRTNCA,Apple
**ID147369|08/05|**7369|USD229.99|BOSE|TECH|PURCHASE|FRMNGHMMA,Bose
**ID147741|02/26|**7741|USD14.99|DSNP|ENTMT|SUBSCR|BRBKCA,Disney+
**ID147741|03/18|**7741|USD599.99|APPL|TECH|PURCHASE|CPRTNCA,Apple
**ID147741|05/29|**7741|USD399.99|APPL|TECH|PURCHASE|CPRTNCA,Apple
**ID147741|06/26|**7741|USD4.99|AAPL|ENTMT|SUBSCR|CUPRTNO,Apple
**ID147741|07/22|**7741|USD799.99|LG|TECH|PURCHASE|SEOULKR,LG
**ID147742|06/26|**7742|USD9.99|NFLX|ENTMT|SUBSCR|LSGTSCA,Netflix
**ID147743|07/02|**7743|USD59.99|EA|GAMING|PURCHASE|RDWDCTYCA,Electronic Arts
**ID147745|07/14|**7745|USD19.99|ATVI|GAMING|PURCHASE|SNTMNCCA,Activision
**ID147746|07/20|**7746|USD39.99|NVDA|TECH|PURCHASE|SNTCLRCA,NVIDIA
**ID147747|07/26|**7747|USD49.99|INTC|TECH|PURCHASE|SNTCLRCA,Intel
**ID147748|08/01|**7748|USD79.99|ADBE|TECH|PURCHASE|SNJSCA,Adobe
**ID147749|08/07|**7749|USD69.99|EA|GAMING|PURCHASE|RDWDCTYCA,Electronic Arts
**ID147750|08/13|**7750|USD89.99|NVDA|TECH|PURCHASE|SNTCLRCA,NVIDIA
**ID147751|08/19|**7751|USD59.99|ATVI|GAMING|PURCHASE|SNTMNCCA,Activision
**ID147752|08/25|**7752|USD39.99|INTC|TECH|PURCHASE|SNTCLRCA,Intel
**ID147753|08/31|**7753|USD129.99|ADBE|TECH|PURCHASE|SNJSCA,Adobe
**ID147754|09/06|**7754|USD79.99|EA|GAMING|PURCHASE|RDWDCTYCA,Electronic Arts
**ID147757|09/24|**7757|USD39.99|INTC|TECH|PURCHASE|SNTCLRCA,Intel
**ID147758|09/30|**7758|USD89.99|ADBE|TECH|PURCHASE|SNJSCA,Adobe
**ID147760|10/12|**7760|USD79.99|NVDA|TECH|PURCHASE|SNTCLRCA,NVIDIA
**ID147761|10/18|**7761|USD69.99|ATVI|GAMING|PURCHASE|SNTMNCCA,Activision
**ID147764|11/05|**7764|USD59.99|EA|GAMING|PURCHASE|RDWDCTYCA,Electronic Arts
**ID147765|11/11|**7765|USD89.99|NVDA|TECH|PURCHASE|SNTCLRCA,NVIDIA
**ID147766|11/17|**7766|USD79.99|ATVI|GAMING|PURCHASE|SNTMNCCA,Activision
**ID147767|11/23|**7767|USD39.99|INTC|TECH|PURCHASE|SNTCLRCA,Intel
**ID147768|11/29|**7768|USD19.99|NVDA|TECH|PURCHASE|SNTCLRCA,NVIDIA
**ID147852|01/01|**7852|USD69.99|NFLSHOP|RETAIL|PURCHASE|NWYRKNY,NFL Shop
**ID147852|02/11|**7852|USD5.99|SPOT|ENTMT|SUBSCR|STCKHLM,Spotify
**ID147852|02/18|**7852|USD79.99|NFLSHOP|RETAIL|PURCHASE|NWYRKNY,NFL Shop
**ID147852|02/28|**7852|USD1499.99|LG|TECH|PURCHASE|SEOULKR,LG
**ID147852|04/07|**7852|USD89.99|NFLSHOP|RETAIL|PURCHASE|NWYRKNY,NFL Shop
**ID147852|05/25|**7852|USD99.99|NFLSHOP|RETAIL|PURCHASE|NWYRKNY,NFL Shop
**ID147852|06/11|**7852|USD10.99|NFLX|ENTMT|SUBSCR|LSANCA,Netflix
**ID147963|03/13|**7963|USD17.99|HBO|ENTMT|SUBSCR|ATLNGA,HBO
**ID147963|04/05|**7963|USD1399.99|LG|TECH|PURCHASE|SEOULKR,LG
**ID147963|05/12|**7963|USD12.99|DSNP|ENTMT|SUBSCR|BRBKCA,Disney+
**ID147963|07/10|**7963|USD12.99|DSNP|ENTMT|SUBSCR|BRBKCA,Disney+
**ID159159|09/10|**9159|USD14.99|HULU|ENTMT|SUBSCR|SNTVLCA,Hulu
**ID159357|01/10|**9357|USD899.99|AUTDSK|TECH|PURCHASE|SNRFLCA,Autodesk
**ID159357|01/18|**9357|USD69.99|REBOOK|RETAIL|PURCHASE|BSTNMA,Reebok
**ID159357|03/07|**9357|USD69.99|TOMMYHF|RETAIL|PURCHASE|NWYRKNY,Tommy Hilfiger
**ID159357|08/27|**9357|USD79.99|ADIDAS|RETAIL|PURCHASE|PRTLNDOR,Adidas
**ID159357|09/20|**9357|USD59.99|OLDNVY|RETAIL|PURCHASE|SNFRNCSCOCA,Old Navy
**ID159357|10/14|**9357|USD99.99|PUMA SE|RETAIL|PURCHASE|HRZGNRCHDE,PUMA
**ID159357|10/30|**9357|USD799.99|LNVO|TECH|PURCHASE|MORRISVLNC,Lenovo
**ID159357|12/01|**9357|USD79.99|NEWBLNC|RETAIL|PURCHASE|BSTNMA,New Balance
**ID159357|12/05|**9357|USD1099.99|ORCLE|TECH|PURCHASE|RDWDSHCA,Oracle
**ID159357|12/25|**9357|USD79.99|GAPINCR|RETAIL|PURCHASE|SNFRNCSCOCA,Gap
**ID159753|01/06|**9753|USD49.99|VANS CO|RETAIL|PURCHASE|COSTMSACA,Vans
**ID159753|01/22|**9753|USD1099.99|WORKDY|TECH|PURCHASE|PLSNTNCA,Workday
**ID159753|02/01|**9753|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR,E-Mart
**ID159753|02/23|**9753|USD49.99|FILA CO|RETAIL|PURCHASE|SPRTBRGSC,FILA
**ID159753|02/27|**9753|USD699.99|ZSCALR|TECH|PURCHASE|SNJOSECA,Zscaler
**ID159753|03/19|**9753|USD59.99|CROCS|RETAIL|PURCHASE|BROOMFLDCO,Crocs
**ID159753|04/22|**9753|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON,RTIC Outdoors
**ID159753|07/27|**9753|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS,Balenciaga
**ID159753|08/12|**9753|USD199.99|APPLINC|TECH|PURCHASE|CPRTNOCA,Apple
**ID159753|08/20|**9753|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID159753|09/08|**9753|USD129.99|NORTHFC|RETAIL|PURCHASE|ALMDACA,The North Face
**ID159753|10/01|**8642|USD55.00|CHVRON|FUEL|PURCHASE|PHOEAZ,Chevron
**ID159753|10/02|**9753|USD79.99|FOOTLKR|RETAIL|PURCHASE|NWYRKNY,Foot Locker
**ID159753|10/06|**9753|USD999.99|LG|TECH|PURCHASE|SEOULKR,LG
**ID159753|11/11|**9753|USD599.99|ASUS|TECH|PURCHASE|TPEITW,ASUS
**ID159753|11/19|**9753|USD49.99|SKECHERS|RETAIL|PURCHASE|MNHTNBCHCA,Skechers
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM,Spotify
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM REF1,Spotify
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM REF2,Spotify
**ID159753|11/29|**9753|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM REF3,Spotify
**ID159753|12/13|**9753|USD59.99|CLRBNKS|RETAIL|PURCHASE|NWYRKNY,Clearbanks
**ID159753|12/17|**9753|USD799.99|ADBE|TECH|PURCHASE|SNJOSECA,Adobe
**ID159753|12/31|**9753|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN,Big Basket
**ID159864|02/01|**9770|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR,E-Mart
**ID159864|04/22|**9770|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON,RTIC Outdoors
**ID159864|07/27|**9770|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS,Balenciaga
**ID159864|08/20|**9770|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID159864|11/29|**9770|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM,Spotify
**ID159864|12/31|**9770|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN,Big Basket
**ID159951|02/03|**9951|USD899.99|SPLUNK|TECH|PURCHASE|SNFRNCSCO,Splunk
**ID159951|03/11|**9951|USD999.99|ATLSSN|TECH|PURCHASE|SDNYAU,Atlassian
**ID159951|10/18|**9951|USD699.99|INTL|TECH|PURCHASE|SNTCLRCA,Apple
**ID159951|11/23|**9951|USD799.99|MSI|TECH|PURCHASE|TPEITW,MSI
**ID159951|12/29|**9951|USD699.99|SFORCE|TECH|PURCHASE|SNFRNCSCO,Salesforce
**ID159975|02/01|**9787|KRW100000|EMART|GROCERY|PURCHASE|SEOULKR,E-Mart
**ID159975|04/22|**9787|USD89.99|RTIC_OUTDOORS|OUTDOOR_GEAR|PURCHASE|HOUSTON,RTIC Outdoors
**ID159975|07/27|**9787|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS,Balenciaga
**ID159975|08/20|**9787|EUR55.80|EDEKA|GROCERY|PURCHASE|BERLDE,EDEKA
**ID159975|11/29|**9787|USD12.99|SPOTFY|ENTMT|SUBSCR|STCKHLM,Spotify
**ID159975|12/31|**9787|INR5000|BIGBASKET|GROCERY|PURCHASE|MUMBAIIN,Big Basket
**ID182900|07/27|**2900|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS,Balenciaga
**ID182900|07/27|**2900|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS REF1,Balenciaga
**ID182900|07/27|**2900|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS REF2,Balenciaga
**ID182900|07/27|**2900|USD200|BALENCIAGA|LUXURY|PURCHASE|PARIS REF3,Balenciaga
**ID193847|09/21|**6789|USD158.40|H&M|CLOTH|PURCHASE|HTX,H & M
**ID206784|04/08|**6784|USD64.99|NETGEAR|TECH|PURCHASE|SANTAJOSECA,Netgear
**ID219540|07/13|**9540|USD400|D&G|LUXURY|PURCHASE|MILAN,Dolce & Gabbana
**ID234567|01/09|**4567|GBP45.75|SAINSBRY|GROCERY|PURCHASE|LNDNENG,Sainsbury's
**ID234567|01/09|**8901|GBP42.99|WAITROSE|GROCERY|PURCHASE|MANCHESTERUK,Waitrose
**ID234567|01/28|**4567|EGP1000|CARREFOUR|GROCERY|PURCHASE|CAIROEG,Carrefour
**ID234567|01/29|**8901|GBP51.25|TESCO|GROCERY|PURCHASE|GLASGOWUK,Tesco
**ID234567|02/13|**4567|AUD105.75|COLES|GROCERY|PURCHASE|BRSBNAU,Coles
**ID234567|02/18|**8901|AUD63.50|WOOLWORTHS|GROCERY|PURCHASE|MELBOURNEAU,Woolworths
**ID234567|03/10|**8901|GBP46.99|ASDA|GROCERY|PURCHASE|MANCHESTERUK,ASDA
**ID234567|03/30|**8901|CAD58.75|METRO|GROCERY|PURCHASE|TORONTOCA,Metro
**ID234567|04/10|**6789|EUR68.90|REWE|GROCERY|PURCHASE|BERLDE,REWE
**ID234567|04/23|**4567|USD56.78|HMDPT|HOME|PURCHASE|ATLNTAGA,Home Depot
**ID234567|04/24|**4567|CAD115.75|SHOPPERS|HEALTH|PURCHASE|VNCOVRBC,Shoppers Drug Mart
**ID234567|05/13|**4567|USD34.56|DCKSSPTGDS|SPORTS|PURCHASE|KNSSCTYKS,Dick's Sporting Goods
**ID234567|05/29|**4567|USD95.50|MARSHLS|RETAIL|PURCHASE|BSTNMA,Marshalls
**ID234567|06/02|**4567|USD23.45|ACEHRDWR|HOME|PURCHASE|ANCHRGESK,Ace Hardware
**ID234567|06/04|**7890|CZK950|ALBERT|GROCERY|PURCHASE|PRGUCZ,Albertsons
**ID234567|06/10|**8901|PLN100|BIEDRONKA|GROCERY|PURCHASE|WARSAWPL,Biedronka
**ID234567|06/22|**4567|USD56.78|STAPLES|OFFICE|PURCHASE|BRLNGTNVT,Staples
**ID234567|07/03|**4567|GBP58.50|BOOTS|HEALTH|PURCHASE|MNCHSENG,Boots
**ID234567|07/20|**8901|HKD300|PARKNSHOP|GROCERY|PURCHASE|HONGKONGHK,ParknShop
**ID234567|07/29|**7890|EUR62.40|MONOPRIX|GROCERY|PURCHASE|PARSFR,Monoprix
**ID234567|08/07|**4567|USD92.50|TJMAXX|RETAIL|PURCHASE|LSANGLCA,T.J. Maxx
**ID234567|08/21|**4567|USD23.45|NORDSTROM|RETAIL|PURCHASE|LNCLNNE,Nordstrom
**ID234567|09/10|**4567|USD78.90|ADVANCEAUTOPARTS|AUTO|PURCHASE|TPKAMI,Advance Auto Parts
**ID234567|09/12|**4567|CAD115.75|SHOPPERS|HEALTH|PURCHASE|VNCOVRBC,Shoppers Drug Mart
**ID234567|09/22|**7890|JPY6800|LAWSON|CONVENIENCE|PURCHASE|TOKYOJP,Lawson
**ID234567|09/30|**4567|USD34.56|BEDBATHBEYOND|HOME|PURCHASE|NWRKORLNS,BED BATH & BEYOND
**ID234567|10/08|**8901|ZAR450|SPAR|GROCERY|PURCHASE|CAPETOWNZA,SPAR
**ID234567|10/25|**4567|USD12.34|SEPHORA|BEAUTY|PURCHASE|FRSNOCA,Sephora
**ID234567|10/31|**4567|AUD88.75|COLES|GROCERY|PURCHASE|SYDNYAU,Coles
**ID234567|11/10|**8901|EUR41.25|ALDI|GROCERY|PURCHASE|BERLINDE,ALDI
**ID234567|11/30|**8901|GBP47.50|ASDA|GROCERY|PURCHASE|BIRMINGHAMUK,ASDA
**ID234567|12/05|**4567|USD82.75|TJMAXX|RETAIL|PURCHASE|BSTNMA,T.J. Maxx
**ID234567|12/19|**4567|TRY1000|MIGROS|GROCERY|PURCHASE|ISTANBULTR,Migros
**ID234567|12/20|**8901|AUD57.50|WOOLWORTHS|GROCERY|PURCHASE|BRISBANEAU,Woolworths
**ID235468|02/28|**5468|USD699.99|SAMSUNG|TECH|PURCHASE|SEOULKR,Samsung
**ID235789|04/28|**5789|USD99.99|BENQ|TECH|PURCHASE|TAIPEI_TW,BenQ
**ID238502|03/15|**8502|USD19.99|LINKEDIN|SUBSCR|PROFESSIONAL|MOUNTAINVIEWCA,LinkedIn
**ID245867|02/18|**5867|USD7.99|TIDAL|MUSIC|SUBSCR|NEWYORKNY,Tidal
**ID246802|01/19|**4680|USD100.00|AMD|TECH|PURCHASE|SNNYVLCA,AMD
**ID246802|02/13|**4680|USD50.00|ADBE|TECH|PURCHASE|SNJSECA,Adobe
**ID246802|03/10|**4680|USD75.00|AMD|TECH|PURCHASE|SNNYVLCA,AMD
**ID246802|04/04|**4680|USD150.00|ADBE|TECH|PURCHASE|SNJSECA,Adobe
**ID246802|04/29|**4680|USD250.00|AMD|TECH|PURCHASE|SNNYVLCA,AMD
**ID246802|05/24|**6802|USD199.99|APPL|TECH|PURCHASE|CPRTNCA,Apple
**ID246802|07/13|**6802|USD299.99|NVDA|TECH|PURCHASE|SNTCLCA,NVIDIA
**ID246802|08/07|**6802|USD199.99|MSFT|TECH|PURCHASE|RDMNDWA,Microsoft
**ID246802|09/01|**6802|USD399.99|SMSNG|TECH|PURCHASE|SUWONKR,Samsung
**ID246802|09/26|**6802|USD599.99|INTC|TECH|PURCHASE|SNTCLCA,Intel
**ID246802|10/21|**6802|USD1299.99|TSLA|AUTO|PURCHASE|FRMNTCA,Tesla
**ID246802|11/15|**6802|USD699.99|LNVO|TECH|PURCHASE|BJNGCN,Lenovo
**ID246802|11/30|**4680|USD300.00|AMD|TECH|PURCHASE|SNNYVLCA,AMD
**ID246802|12/10|**6802|USD1099.99|AAPL|TECH|PURCHASE|CPRTNCA,Apple
**ID246802|12/25|**4680|USD200.00|ADBE|TECH|PURCHASE|SNJSECA,Adobe
**ID246810|09/25|**1357|USD18.50|SBUX|FOOD|PURCHASE|SEATLWA,Starbucks
