cluster_key,canonical_suggested,alias,row_count,aliases_in_cluster
dollargeneral,Dollar General,DOLLAR GENERAL,2,DOLLAR GENERAL (2); Dollar General (2)
dollargeneral,Dollar General,Dollar General,2,DOLLAR GENERAL (2); Dollar General (2)
phillips66,Phillips 66,Phillips 66,3,Phillips 66 (3); PHILLIPS 66 (1)
phillips66,Phillips 66,PHILLIPS 66,1,Phillips 66 (3); PHILLIPS 66 (1)
sunoco,Sunoco,Sunoco,3,Sunoco (3); SUNOCO (1)
sunoco,Sunoco,SUNOCO,1,Sunoco (3); SUNOCO (1)
ticketmaster,Ticketmaster,Ticketmaster,3,Ticketmaster (3); TICKETMASTER (1)
ticketmaster,Ticketmaster,TICKETMASTER,1,Ticketmaster (3); TICKETMASTER (1)
zoom,Zoom,ZOOM,2,ZOOM (2); Zoom (2)
zoom,Zoom,Zoom,2,ZOOM (2); Zoom (2)
familydollar,FAMILY DOLLAR,FAMILY DOLLAR,2,FAMILY DOLLAR (2); Family Dollar (1)
familydollar,FAMILY DOLLAR,Family Dollar,1,FAMILY DOLLAR (2); Family Dollar (1)
grammarly,Grammarly,Grammarly,2,Grammarly (2); GRAMMARLY (1)
grammarly,Grammarly,GRAMMARLY,1,Grammarly (2); GRAMMARLY (1)
stbenedict,ST. BENEDICT,ST. BENEDICT,2,ST. BENEDICT (2); ST.BENEDICT (1)
stbenedict,ST. BENEDICT,ST.BENEDICT,1,ST. BENEDICT (2); ST.BENEDICT (1)
3x4genetics,3X4GENETICS,3X4 GENETICS,1,3X4 GENETICS (1); 3X4GENETICS (1)
3x4genetics,3X4GENETICS,3X4GENETICS,1,3X4 GENETICS (1); 3X4GENETICS (1)
auntieannes,Auntie Anne's,Auntie Anne's,1,Auntie Anne's (1); AUNTIE ANNE'S (1)
auntieannes,Auntie Anne's,AUNTIE ANNE'S,1,Auntie Anne's (1); AUNTIE ANNE'S (1)
culvers,Culvers,Culver's,1,Culver's (1); Culvers (1)
culvers,Culvers,Culvers,1,Culver's (1); Culvers (1)
jcrew,J.Crew,J. Crew,1,J. Crew (1); J.Crew (1)
jcrew,J.Crew,J.Crew,1,J. Crew (1); J.Crew (1)
khanacademy,KHANACADEMY,KHAN ACADEMY,1,KHAN ACADEMY (1); KHANACADEMY (1)
khanacademy,KHANACADEMY,KHANACADEMY,1,KHAN ACADEMY (1); KHANACADEMY (1)
partycity,Party City,PARTY CITY,1,PARTY CITY (1); Party City (1)
partycity,Party City,Party City,1,PARTY CITY (1); Party City (1)
raisingcanes,Raising Canes,Raising Cane's,1,Raising Cane's (1); Raising Canes (1)
raisingcanes,Raising Canes,Raising Canes,1,Raising Cane's (1); Raising Canes (1)
samahasfarm,SAMAHA`S FARM,SAMAHA'S FARM,1,SAMAHA'S FARM (1); SAMAHA`S FARM (1)
samahasfarm,SAMAHA`S FARM,SAMAHA`S FARM,1,SAMAHA'S FARM (1); SAMAHA`S FARM (1)
verizon,Verizon,Verizon,1,Verizon (1); VERIZON (1)
verizon,Verizon,VERIZON,1,Verizon (1); VERIZON (1)
