alias,canonical,notes
Bratwurst Haus,Bratwurst Haus,
Bravo,Bravo,
BRILLIANT.ORG,BRILLIANT.ORG,
BritBox,BritBox,
Broadway,Broadway,
Bulgari,Bulgari,
Burger Bliss,Burger Bliss,
Burger King,Burger King,
BURLINGTON STORES,BURLINGTON STORES,
Cabify,Cabify,
Canada Goose,Canada Goose,
Canon,Canon,
Canva,Canva,
CARDMART,CARDMART,
Careem,Careem,
Carl's Jr.,Carl's Jr.,
Carrefour,Carrefour,
Cartier,Cartier,
Casey's General Store,Casey's General Store,
Caviar,Caviar,
CELINES SPA,CELINES SPA,
CHAMPION,CHAMPION,
CHANGE.ORG,CHANGE.ORG,
CHARRITOS,CHARRITOS,
Chedraui,Chedraui,
CHEESECAKE FACTORY,CHEESECAKE FACTORY,
Chegg,Chegg,
Chevron,Chevron,
Chewy,Chewy,
Chick-fil-A,Chick-fil-A,
CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,
Chipotle,Chipotle,
CHIPOTLE,Chipotle,conflict
CINEMARK,CINEMARK,
Cinemax,Cinemax,
Cinnabon,Cinnabon,
CINNABON-CARVEL,CINNABON-CARVEL,
CIRCLE CHEVROLET,CIRCLE CHEVROLET,
Circle K,Circle K,
Cisco,Cisco,
Citgo,Citgo,
CITGO,Citgo,conflict
CLAIRE'S,CLAIRE'S,
Clearbanks,Clearbanks,
CMS,CMS,
CMSVEND,CMS,failure_alias
Coach,Coach,
CODE NINJAS,CODE NINJAS,
Coffee Haven,Coffee Haven,
COLD STONE,COLD STONE,
Cold Stone Creamery,Cold Stone Creamery,
Cold Storage,Cold Storage,
Coles,Coles,
Comcast,Comcast,
COMFORT INNS,COMFORT INNS,
CONAD,CONAD,
CONDOCERTS,CONDOCERTS,
CONOCO,Conoco,conflict
Conoco,Conoco,
Coop,Coop,
Corner Bakery Cafe,Corner Bakery Cafe,
Costco,Costco,
COSTCO,Costco,conflict
COSTCO GAS,COSTCO GAS,
Coto,Coto,
Countdown,Countdown,
COURTYARD BY MARRIOT,COURTYARD BY MARRIOT,
Cracker Barrel,Cracker Barrel,
CRAYOLA EXPERIENCE,CRAYOLA EXPERIENCE,
CRI GENETICS,CRI GENETICS,
Criterion Channel,Criterion Channel,
Crocs,Crocs,
Crunchyroll,Crunchyroll,
CRYSTAL SPRINGS,CRYSTAL SPRINGS,
CTM GROUP INC.,CTM GROUP INC.,
Culver's,Culvers,conflict
Culvers,Culvers,
Cumberland Farms,Cumberland Farms,
Curiosity Stream,Curiosity Stream,
Currywurst Corner,Currywurst Corner,
CVS,CVS,
CVS CAREPASS,CVS,failure_alias
CyberGhost,CyberGhost,
CyberGhost VPN,CyberGhost VPN,
D'BELLA SALON,D'BELLA SALON,
Dairy Queen,Dairy Queen,
Dashlane,Dashlane,
Datorama,Datorama,
DAVIDsTEA,DAVIDsTEA,
DCH ACADEMY HONDA,DCH ACADEMY HONDA,
Deliveroo,Deliveroo,
Dell,Dell,
Delta Air Lines,Delta Air Lines,
DICK'S CLOTHING & SPORT,DICK'S CLOTHING & SPORT,
Dick's Sporting Goods,Dick's Sporting Goods,
DiDi,DiDi,
DIOCESE OF TRENTON,DIOCESE OF TRENTON,
Dior,Dior,
Discord,Discord,
Discovery+,Discovery+,
DISNEY PLUS,DISNEY PLUS,
Disney+,Disney+,
DIVINE TOUCH CLEANERS,DIVINE TOUCH CLEANERS,
DJI,DJI,
DocuSign,DocuSign,
Dolce & Gabbana,Dolce & Gabbana,
DOLLAR GENERAL,Dollar General,conflict
Dollar General,Dollar General,
Dollar Tree,DOLLAR TREE,conflict
DOLLAR TREE,DOLLAR TREE,
DOLLARTREE,DOLLAR TREE,conflict
DOLLARS N THINGS,DOLLARS N THINGS,
Domino's,Domino's,
DOMINO'S,Domino's,conflict
DD STOREKANDAHARAFGHA,DoorDash,failure_alias
DoorDash,DoorDash,
DOORDASH & ROUND PIE PIZ,DoorDash,failure_alias
DOORDASH CROWN FRIED CHICKEN,DOORDASH CROWN FRIED CHICKEN,
DOORDASH DUNKIN,DOORDASH DUNKIN,
DOORDASH KANDAHAR,DOORDASH KANDAHAR,
DOORDASH KHOKHA,DOORDASH KHOKHA,
DOORDASH MCDONALDS,DOORDASH MCDONALDS,
DOORDASH RIFFYS KITCHEN,DOORDASH RIFFYS KITCHEN,
DOORDASH ROUND PIE PIZZA,DOORDASH ROUND PIE PIZZA,
Dropbox,Dropbox,
DS SERVICES,DS SERVICES,
DUNKIN,DUNKIN,
Dunkin' Donuts,Dunkin' Donuts,
DWAYNES PHOTO,DWAYNES PHOTO,
E-Mart,E-Mart,
eBay,eBay,
ECOSHIELD,ECOSHIELD,
EDEKA,EDEKA,
EDMENTUM,EDMENTUM,
Einstein Bros Bagels,Einstein Bros Bagels,
El Pollo Loco,El Pollo Loco,
Electronic Arts,Electronic Arts,
EMIR HALAL,EMIR HALAL,
ESCAPOLOGY,ESCAPOLOGY,
ESPN,ESPN,
ETIHAD AIRWAYS,ETIHAD AIRWAYS,
BCF ETSY UPLIFT,Etsy,failure_alias
Etsy,Etsy,
ETSY,Etsy,conflict
EUVEXIA,EUVEXIA,
Evernote,Evernote,
Exito,Exito,
EXL PREP,EXL PREP,
EXPEDIA,EXPEDIA,
Expedia,EXPEDIA,conflict
Express,Express,
ExpressVPN,ExpressVPN,
Extra,Extra,
EXXON MOBIL,Exxon Mobil,conflict
Exxon Mobil,Exxon Mobil,
Fairprice,Fairprice,
FairPrice,Fairprice,conflict
Falafel Feast,Falafel Feast,
FAMILY DOLLAR,FAMILY DOLLAR,
Family Dollar,FAMILY DOLLAR,conflict
FamilyMart,FamilyMart,
FANTASY RIDE,FANTASY RIDE,
FATTY15,FATTY15,
FEDEX,FEDEX,
Fendi,Fendi,
Ferrari Store,Ferrari Store,
Ferrero Roch,Ferrero Rocher,failure_alias
Ferrero Rocher,Ferrero Rocher,
FIDELITY,FIDELITY,
FILA,FILA,
Firehouse Subs,Firehouse Subs,
Fish and Chips,Fish and Chips,
FIT N FEET,FIT N FEET,
FIVE BELOW,FIVE BELOW,
Five Guys,Five Guys,
FLAME KABOB,FLAME KABOB,
FLYNN & O HARA,FLYNN & O HARA,
Food 4 Less,Food 4 Less,
Food Lion,Food Lion,
Food Truck,Food Truck,
Foodora,Foodora,
Foodpanda,Foodpanda,
Foot Locker,Foot Locker,
Ford,Ford,
Forever 21,Forever 21,
FOREVER LIVING,FOREVER LIVING,
Fossil,Fossil,
Four Seasons,Four Seasons,
FRAN LEBOWITZ,FRAN LEBOWITZ,
"FRANK LIPMAN, M.D.","FRANK LIPMAN, M.D.",
FRIENDLY,FRIENDLY,
Frontier Airlines,Frontier Airlines,
Frozen Yogurt,Frozen Yogurt,
Fubo,Fubo,
FULLSCRIPT,FULLSCRIPT,
FUN KIDS TRAIN,FUN KIDS TRAIN,
Funimation,Funimation,
FUSION REHABILITATIVE,FUSION REHABILITATIVE,
Føtex,Føtex,
GameStop,Gamestop,conflict
Gamestop,Gamestop,
Gap,Gap,
GEICO,GEICO,
Gelateria Artigianale,Gelateria Artigianale,
Gelato Dreams,Gelato Dreams,
GERMAN DONER KEBAB,GERMAN DONER KEBAB,
GERTRUDE HAWK CHOCOLATE,GERTRUDE HAWK CHOCOLATE,
Gett,Gett,
GhostPath,GhostPath,
GhostVPN,GhostVPN,
Giant,Giant,
Giant Eagle,Giant Eagle,
GIRL SCOUT COOKIES,GIRL SCOUTS,failure_alias
GIRL SCOUTS,GIRL SCOUTS,
GS CTRL & SOUTHERN,GIRL SCOUTS,failure_alias
GS OF THE JERSEY SHORE,GIRL SCOUTS,failure_alias
GitHub,GitHub,
GLOBAL PLUMBING,GLOBAL PLUMBING,
Globus,Globus,
Glovo,Glovo,
GLOW EXPRESS CAR WASH,GLOW EXPRESS CAR WASH,
GoDaddy,GoDaddy,
Gojek,Gojek,
GOLDIE LOX,GOLDIE LOX,
GOOD FOOD BY UZMA,GOOD FOOD BY UZMA,
Goodreads,Goodreads,
Google,Google,
GOOGLE,Google,conflict
GOOGLE YOUTUBE,GOOGLE YOUTUBE,
Grab,Grab,
GRAMMARLY,Grammarly,conflict
Grammarly,Grammarly,
Grand Hyatt,Grand Hyatt,
Groupon,Groupon,
Grubhub,Grubhub,
GrubHub,Grubhub,conflict
GrubhubOODFOODBYUZMA,Grubhub,failure_alias
GRUBHUB GOOD FOOD BY UZMA,GRUBHUB GOOD FOOD BY UZMA,
GRUBHUB JERSEY MIKES,GRUBHUB JERSEY MIKES,
GRUBHUB MCDONALDS,GRUBHUB MCDONALDS,
GRUBHUB ROUND PIE PIZZA,GRUBHUB ROUND PIE PIZZA,
GUARDIAN TECHNOLOGIES,GUARDIAN TECHNOLOGIES,
Gucci,Gucci,
Gulfstream Park,Gulfstream Park,
GUM.CO,GUM.CO,
GYRO,GYRO,
Gyros Galore,Gyros Galore,
H & M,H & M,
H&M,H & M,conflict
H-E-B,H-E-B,
HALAL EATZ,HALAL EATZ,
HAMPTON INNS,HAMPTON INNS,
HandyTools,HandyTools,
Hannaford,Hannaford,
Harris Teeter,Harris Teeter,
Hawaiian Airlines,Hawaiian Airlines,
HBO,HBO,
HDFC BANK LTD.,HDFC BANK LTD.,
HEAD OVER HEELS,HEAD OVER HEELS,
Hemköp,Hemköp,
HERITAGE AMUSEMENT,HERITAGE AMUSEMENT,
HERSHEY PARK,HERSHEY PARK,
Hertz,Hertz,
Hibbett Sports,Hibbett Sports,
HideMyAss,HideMyAss,
Hilton,Hilton,
Hilton Garden Inn,Hilton Garden Inn,
Hobby Store,Hobby Store,
HOCH ORTHODONTICS,HOCH ORTHODONTICS,
Holiday Station Stores,Holiday Station Stores,
HOLISTIC HEALTH LABS,HOLISTIC HEALTH LABS,
Hollister,Hollister,
Home Depot,Home Depot,
HOME DEPOT,Home Depot,conflict
HOMEGOODS,HOMEGOODS,
HONDA,HONDA,
HotSpot Shield,HotSpot Shield,
HP,HP,
Hukn,Hukn,
Hulu,Hulu,
HUMA BEAUTY SALON,HUMA BEAUTY SALON,
Hy-Vee,Hy-Vee,
Hyatt,Hyatt,
Hyatt Regency,Hyatt Regency,
HYUNDAI BLUE LINK,HYUNDAI BLUE LINK,
HYUNDAI SERVICE,HYUNDAI SERVICE,
IBBY'S FALAFEL,IBBY'S FALAFEL,
IBM,IBM,
ICA,ICA,
ICE CREAM MONSTER,ICE CREAM MONSTER,
ICECREAM TRUCK,ICECREAM TRUCK,
ICOM,ICOM,
ICY MELON,ICY MELON,
IGA,IGA,
IHOP,IHOP,
IKEA,IKEA,
IMAMIA MEDICS,IMAMIA MEDICS,
In-N-Out Burger,In-N-Out Burger,
Indomaret,Indomaret,
Ingles Market,Ingles Market,
Instacart,Instacart,
Intel,Intel,
Intercontinental,Intercontinental,
Intermarché,Intermarché,
Intuit,Intuit,
IPVanish,IPVanish,
IXL,IXL,
J & G SALON,J & G SALON,
J. Crew,J.Crew,conflict
J.Crew,J.Crew,
Jaans Pizza,Jaans Pizza,
Jack in the Box,Jack in the Box,
Jackbox,Jack in the Box,failure_alias
Jamba Juice,Jamba Juice,
Jason's Deli,Jason's Deli,
JCPenney,JCPenney,
JENKINSON'S AQUARIUM,JENKINSON'S AQUARIUM,
JENKINSON'S CANDY,JENKINSON'S CANDY,
JENKINSON'S PAVILLION,JENKINSON'S PAVILLION,
Jerico's Dairy,Jerico's Dairy,
Jerry's PC Enterprise,Jerry's PC Enterprise,
JERSEY COAST NEPHROLOGY,JERSEY COAST NEPHROLOGY,
Jersey Mike's,Jersey Mike's,
JetBlue,JetBlue,
JetBrains,JetBrains,
Jewel-Osco,Jewel-Osco,
Jimmy John's,Jimmy John's,
JIN SOY,JIN SOY,
JOSTENS INC.,JOSTENS INC.,
JOYCE CREAMERY,JOYCE CREAMERY,
JUICE AND DESSERT,JUICE AND DESSERT,
Jumbo,Jumbo,
Jumia Food,Jumia Food,
Just Eat,Just Eat,
JUSTGIVING.COM,JUSTGIVING.COM,
KABAB PARADISE,KABAB PARADISE,
Kakao T,Kakao T,
KANDAHAR,KANDAHAR,
KARAHI HOUSE,KARAHI HOUSE,
Kaufland,Kaufland,
Kebab King Istanbul,Kebab King Istanbul,
KENDALL HUNT PUBLISHING,KENDALL HUNT PUBLISHING,
KFC,KFC,
KHAN ACADEMY,Khan Academy,conflict
KHANACADEMY,KHANACADEMY,
KIDS FOOT LOCKER,KIDS FOOT LOCKER,
KIDZDENT,KIDZDENT,
KINDLE,KINDLE,
KING SWEETS,KING SWEETS,
Kohl's,Kohl's,
KOHL'S,Kohl's,conflict
Krispy Kreme,Krispy Kreme,
Kroger,Kroger,
KUUQA Kids Art,KUUQA Kids Art,
Kwik Trip,Kwik Trip,
Kwik-E-Mart,Kwik-E-Mart,
L.L.Bean,L.L.Bean,
LA BON BAKE SHOPPES,LA BON BAKE SHOPPES,
LA CONTESSA,LA CONTESSA,
LA FITNESS,LA FITNESS,
LAAM TECHNOLOGIES,LAAM TECHNOLOGIES,
LAHORE RESTAURANT,LAHORE RESTAURANT,
LastPass,LastPass,
Lawson,Lawson,
LEARNER.COM,LEARNER.COM,
Leclerc,Leclerc,
LEETCODE.COM,LEETCODE.COM,
LEGOLAND DISCOVERY,LEGOLAND DISCOVERY,
Lenovo,Lenovo,
LEVELS,LEVELS,
LG,LG,
LIBERTY SCIENCE CENTER,LIBERTY SCIENCE CENTER,
Lidl,Lidl,
LinkedIn,LinkedIn,
Little Caesars,Little Caesars,
LMXAC,LMXAC,
Loblaws,Loblaws,
Local Coffee Brewery,Local Coffee Brewery,
Lotte Mart,Lotte Mart,
LOTTE PLAZA,LOTTE PLAZA,
Louis Vuitton,Louis Vuitton,
Love's Travel Stops,Love's Travel Stops,
LOVELY,LOVELY & KANDAHAR,failure_alias
Lowe's,Lowe's,
LOWES,Lowe's,conflict
LS SKATE PRO INC.,LS SKATE PRO INC.,
Lulu Hypermarket,Lulu Hypermarket,
LULU.COM,LULU.COM,
Lululemon,Lululemon,
LUMINOCITY,LUMINOCITY,
Lyft,Lyft,
M CITY DOLLAR,M CITY DOLLAR,
MACSALES.COM,MACSALES.COM,
Macy's,Macy's,
Magnit,Magnit,
Mandarin Oriental,Mandarin Oriental,
Mango,Mango,
Marathon,Marathon,
Marriott,Marriott,
MARS HALAL,MARS HALAL,
Marshalls,Marshalls,
MARSHALLS,Marshalls,conflict
MASSAGE ENVY,MASSAGE ENVY,
MASSAGELUXE,MASSAGELUXE,
Mattel,Mattel,
Maverik,Maverik,
Maxi,Maxi,
MAZA RESTAURANTS,MAZA RESTAURANTS,
MAZUMDER ENTERTAINMENT,MAZUMDER ENTERTAINMENT,
McAlister's Deli,McAlister's Deli,
McDonald's,McDonald's,
MCDONALD'S,McDonald's,conflict
MDC PEETS,MDC PEETS,
MDC WENDYS,MDC WENDYS,
MDM JERRYS,MDM JERRYS,
MEAL MAGIC,MEAL MAGIC,
Meijer,Meijer,
Menchie's,Menchie's,
Mercadona,Mercadona,
Metro,Metro,
Michaels,Michaels,
MICHAELS,Michaels,conflict
Microsoft,Microsoft,
MIDDLESEX COUNTY COLLEGE,MIDDLESEX COUNTY COLLEGE,
Mighty Pizza,Mighty Pizza,
Migros,Migros,
MINISO,MINISO,
Ministop,Ministop,
MINUTE CLINIC,MINUTE CLINIC,
MISEN,MISEN,
Moe's Southwest Grill,Moe's Southwest Grill,
MONMOUTH COUNTY PARK,MONMOUTH COUNTY PARK,
Monoprix,Monoprix,
Morrisons,Morrisons,
MOTLEY.FOOL.COM,MOTLEY.FOOL.COM,
Mpon,Mpon,
MSI,MSI,
MUBI,MUBI,
Mullvad,Mullvad,
MYQ,MYQ,
Mytaxi,Mytaxi,
N THAI,N THAI,
NAYAX VENDING,NAYAX VENDING,
NBPA,NBPA,
Netflix,Netflix,
NETFLIX.COM,NETFLIX.COM,
Netgear,Netgear,
Netto,Netto,
New Balance,New Balance,
NEW JERSEY E-ZPASS,NEW JERSEY E-ZPASS,
NEW JERSEY NATURAL GAS,NEW JERSEY NATURAL GAS,
NEW JERSEY TITANS HOCKEY,NEW JERSEY TITANS HOCKEY,
New York Times,New York Times,
NFL Shop,NFL Shop,
Nike,Nike,
Nintendo,Nintendo,
NJ GOV,NJ GOV,
NJ MOTOR VEHICLE,NJ MOTOR VEHICLE,
NJ TRANSIT,NJ TRANSIT,
NOMURA,NOMURA,
NOMURA CAF�,NOMURA CAF�,
Noodles & Company,Noodles & Company,
NORDIC PURE,NORDIC PURE,
Nordstrom,Nordstrom,
NordVPN,NordVPN,
NRS Tint Shop,NRS Tint Shop,
NVIDIA,NVIDIA,
NYC FILM LAB,NYC FILM LAB,
Office Depot,Office Depot,
Oh Happy Day,Oh Happy Day,
Ola,Ola,
OLD BRIDGE PARK,OLD BRIDGE PARK,
Old Navy,Old Navy,
OLD NAVY,Old Navy,conflict
Olive Garden,Olive Garden,
Omega,Omega,
Omron,Omron,
OPENAI,OPENAI,
OPTIMUM,OPTIMUM,
Oracle,Oracle,
ORAL SURGERY GROUP,ORAL SURGERY GROUP,
Orange Leaf,Orange Leaf,
ORANGE LEAF FROZEN,Orange Leaf,failure_alias
OTHER WORLD COMPUTING,OTHER WORLD COMPUTING,
OURA RING INC.,OURA RING INC.,
Overstock,Overstock,
OXFORD CONTRACTING,OXFORD CONTRACTING,
OXXO,OXXO,
Paella Paradise,Paella Paradise,
Panda,Panda,
Panda Express,Panda Express,
Pandora,Pandora,
Panera Bread,Panera Bread,
Papa John's,Papa John's,
PAPA JOHN'S,Papa John's,conflict
Paramount+,Paramount+,
Park Hyatt,Park Hyatt,
ParknShop,ParknShop,
PARTY CITY,Party City,conflict
Party City,Party City,
Pasta Paradise,Pasta Paradise,
PATEL BROTHERS,PATEL BROTHERS,
Patisserie Chocolaterie Delice,Patisserie Chocolaterie Delice,
Patisserie Chouquette,Patisserie Chouquette,
Patisserie Eclair,Patisserie Eclair,
Patisserie Financier,Patisserie Financier,
Patisserie Gateaux Divins,Patisserie Gateaux Divins,
Patisserie Macaron,Patisserie Macaron,
Patisserie Madeleine,Patisserie Madeleine,
Patisserie Mille-Feuille,Patisserie Mille-Feuille,
Patisserie Opera Cake,Patisserie Opera Cake,
Patisserie Palmier,Patisserie Palmier,
Patisserie Paris-Brest,Patisserie Paris-Brest,
Patisserie Religieuse,Patisserie Religieuse,
Patisserie Saint Honore,Patisserie Saint Honore,
PAYMENT,PAYMENT,
PAYPAL JAFARIA SCHOOOL,PAYPAL JAFARIA SCHOOOL,
PAYPAL WALMART,PAYPAL WALMART,
Peacock,Peacock,
Peet's Coffee,Peet's Coffee,
Peloton,Peloton,
Peninsula Hotel,Peninsula Hotel,
PEP BOYS,PEP BOYS,
Perekrestok,Perekrestok,
Petco,Petco,
PetSmart,PetSmart,
PHILLIPS 66,Phillips 66,conflict
Phillips 66,Phillips 66,
Philo,Philo,
Pick n Pay,Pick n Pay,
PICTURE PEOPLE,PICTURE PEOPLE,
Pierogi Palace,Pierogi Palace,
Pilot Travel,Pilot Travel,
Pinkberry,Pinkberry,
Pizza Hut,Pizza Hut,
Pizza Paradise,Pizza Paradise,
PLAYLAND,PLAYLAND,
PlayStation,PlayStation,
Plex,Plex,
Popeyes,Popeyes,
Positive Bakery,Positive Bakery,
Postmates,Postmates,
POTATO PALOOZA,POTATO PALOOZA,
Potbelly Sandwich Shop,Potbelly Sandwich Shop,
Pottery Barn,Pottery Barn,
Poutine Paradise,Poutine Paradise,
Prada,Prada,
PRESCHOOL SMILES,PRESCHOOL SMILES,
Price Chopper,Price Chopper,
Prime Video,Prime Video,
PRIMO WATER,PRIMO WATER,
Private Internet Access,Private Internet Access,
PrivateVPN,PrivateVPN,
Proactive,Proactive,
ProtonMail,ProtonMail,
ProtonVPN,ProtonVPN,
Publix,Publix,
PUMA,PUMA,
PureVPN,PureVPN,
Pão de Açúcar,Pão de Açúcar,
QATAR AIRWAYS,QATAR AIRWAYS,
Qualcomm,Qualcomm,
QUEST DIAGNOSTICS,QUEST DIAGNOSTICS,
QUICK CHEK,QUICK CHEK,
QuikTrip,QuikTrip,
Quiznos,Quiznos,
R Bailey,R Bailey,
RAAVI FOODS,RAAVI NAAN KABAB,failure_alias
RAAVI NAAN KABAB,RAAVI NAAN KABAB,
RACE REGISTER DONATIONS,RACE REGISTER DONATIONS,
RaceTrac,RaceTrac,
Raising Cane's,Raising Canes,conflict
Raising Canes,Raising Canes,
Ralph Lauren,Ralph Lauren,
Ralphs,Ralphs,
RangeShop,RangeShop,
Rappi,Rappi,
RAVE,RAVE,
RAZ SPARDHA LEARNINGS,RAZ SPARDHA LEARNINGS,
Razer,Razer,
RCCA,RCCA,
RCMH FOOD & MERCH,RCMH FOOD & MERCH,
REAL FRUIT BUBBLE,REAL FRUIT BUBBLE,
Red Mango,Red Mango,
Reebok,Reebok,
REFRESH TEA,REFRESH TEA,
Rema 1000,Rema 1000,
RENTERS/CONDO INSURANCE,RENTERS/CONDO INSURANCE,
Revolution Clothing,Revolution Clothing,
RVL,Revolution Clothing,failure_alias
REWE,REWE,
REYDEL VOLKSWAGEN,REYDEL VOLKSWAGEN,
RFC MENLO PARK,RFC MENLO PARK,
RIFFYS KITCHEN,RIFFYS KITCHEN,
Rite Aid,Rite Aid,
Ritz-Carlton,Ritz-Carlton,
RMG PEDIATRICS,RMG PEDIATRICS,
ROBAAZ,ROBAAZ,
ROCK N AIR ADVENTURE,ROCK N AIR ADVENTURE,
Roku,Roku,
ROSETTA BAKERY,ROSETTA BAKERY,
Ross,Ross,
ROUND PIE PIZZA,ROUND PIE PIZZA,
ROYAL CHICKEN,ROYAL CHICKEN,
RTIC Outdoors,RTIC Outdoors,
SaferVPN,SaferVPN,
Safeway,Safeway,
SAHARA,SAHARA,
Sainsbury's,Sainsbury's,
SALERNOS PIZZERIA,SALERNOS PIZZERIA,
Salesforce,Salesforce,
Salty Crew,Salty Crew,
Sam's Club,Sam's Club,
SAMAHA'S FARM,SAMAHA`S FARM,conflict
SAMAHA`S FARM,SAMAHA`S FARM,
Samsung,Samsung,
SAS,SAS,
Save A Lot,Save A Lot,
SBARRO,SBARRO,
Schlotzsky's,Schlotzsky's,
Schnitzel Haus,Schnitzel Haus,
Schnitzel Shack,Schnitzel Shack,
Schnucks,Schnucks,
Scholastic,Scholastic,
SCHOLASTIC BOOK FAIRS,SCHOLASTIC BOOK FAIRS,
Seamless,Seamless,
SENSATE,SENSATE,
Sephora,Sephora,
SEPHORA.COM,SEPHORA.COM,
SERENITY DENTAL,SERENITY DENTAL,
SHAAN GRILL,SHAAN GRILL,
SHAHNAWAZ HALAL MEAT.,SHAHNAWAZ HALAL MEAT.,
Shake Shack,Shake Shack,
Shake Shake,Shake Shack,failure_alias
SHALIMAR HALAL MEAT,SHALIMAR HALAL MEAT,
SHALIMAR SWEETS,SHALIMAR SWEETS,
Shangri-La,Shangri-La,
Shakez,Sheetz,failure_alias
Sheetz,Sheetz,
Shell,Shell,
SHELL OIL,SHELL OIL,
Sheraton,Sheraton,
SHILLEH HALAL,SHILLEH HALAL,
