merchant,root,mid_level,leaf
DOORDASH DUNKIN,Expense,Food & Dining,Coffee & Tea
DOORDASH KANDAHAR,Expense,Food & Dining,Restaurants
DOORDASH KHOKHA,Expense,Food & Dining,Restaurants
DOORDASH MCDONALDS,Expense,Food & Dining,Restaurants
DOORDASH RIFFYS KITCHEN,Expense,Food & Dining,Restaurants
DOORDASH ROUND PIE PIZZA,Expense,Food & Dining,Restaurants
DS SERVICES,Expense,Shopping,Home & Garden
DUNKIN,Expense,Food & Dining,Coffee & Tea
DWAYNES PHOTO,Expense,Personal Services,Photography
Dairy Queen,Expense,Food & Dining,Ice Cream & Yogurt
Dashlane,Expense,Technology,VPN & Privacy
Datorama,Expense,Technology,Software & SaaS
Deliveroo,Expense,Food & Dining,Food Delivery
Dell,Expense,Shopping,Electronics
Delta Air Lines,Expense,Travel,Airlines
DiDi,Expense,Transportation,Rideshare
Dick's Sporting Goods,Expense,Shopping,Sporting Goods
Dior,Expense,Shopping,Clothing & Apparel
Discord,Expense,Entertainment,Gaming
Discovery+,Expense,Entertainment,Streaming Video
Disney+,Expense,Entertainment,Streaming Video
DocuSign,Expense,Technology,Software & SaaS
Dolce & Gabbana,Expense,Shopping,Clothing & Apparel
Dollar General,Expense,Shopping,General Retail
Dollar Tree,Expense,Shopping,General Retail
Domino's,Expense,Food & Dining,Fast Food
DoorDash,Expense,Food & Dining,Food Delivery
Dropbox,Expense,Technology,Software & SaaS
Dunkin' Donuts,Expense,Food & Dining,Coffee & Tea
E-Mart,Expense,Food & Dining,Groceries
ECOSHIELD,Expense,Housing & Utilities,Home Services
EDEKA,Expense,Food & Dining,Groceries
EDMENTUM,Expense,Education,Tuition & School
EMIR HALAL,Expense,Food & Dining,Groceries
ESCAPOLOGY,Expense,Entertainment,Amusement & Parks
ESPN,Expense,Entertainment,Streaming Video
ETIHAD AIRWAYS,Expense,Travel,Airlines
ETSY,Expense,Shopping,General Retail
EUVEXIA,Expense,Health & Wellness,Health Products
EXL PREP,Expense,Education,Tuition & School
EXPEDIA,Expense,Travel,Travel Booking
EXXON MOBIL,Expense,Transportation,Gas & Fuel
Einstein Bros Bagels,Expense,Food & Dining,Restaurants
El Pollo Loco,Expense,Food & Dining,Fast Food
Electronic Arts,Expense,Entertainment,Gaming
Etsy,Expense,Shopping,General Retail
Evernote,Expense,Technology,Software & SaaS
Exito,Expense,Food & Dining,Groceries
Expedia,Expense,Travel,Travel Booking
Express,Expense,Shopping,Clothing & Apparel
ExpressVPN,Expense,Technology,VPN & Privacy
Extra,Expense,Food & Dining,Groceries
Exxon Mobil,Expense,Transportation,Gas & Fuel
FAMILY DOLLAR,Expense,Shopping,General Retail
FANTASY RIDE,Expense,Entertainment,Amusement & Parks
FATTY15,Expense,Health & Wellness,Health Products
FEDEX,Expense,Personal Services,Printing & Shipping
FIDELITY,Expense,Financial Services,Banking Fees
FILA,Expense,Shopping,Clothing & Apparel
FIT N FEET,Expense,Shopping,Clothing & Apparel
FIVE BELOW,Expense,Shopping,General Retail
FLAME KABOB,Expense,Food & Dining,Restaurants
FLYNN & O HARA,Expense,Shopping,Clothing & Apparel
FOREVER LIVING,Expense,Health & Wellness,Health Products
FRAN LEBOWITZ,Expense,Entertainment,Movies & Events
"FRANK LIPMAN, M.D.",Expense,Health & Wellness,Medical & Dental
FRIENDLY,Expense,Food & Dining,Restaurants
FULLSCRIPT,Expense,Health & Wellness,Health Products
FUN KIDS TRAIN,Expense,Entertainment,Amusement & Parks
FUSION REHABILITATIVE,Expense,Health & Wellness,Medical & Dental
FairPrice,Expense,Food & Dining,Groceries
Fairprice,Expense,Food & Dining,Groceries
Falafel Feast,Expense,Food & Dining,Restaurants
Family Dollar,Expense,Shopping,General Retail
FamilyMart,Expense,Food & Dining,Groceries
Fendi,Expense,Shopping,Clothing & Apparel
Ferrari Store,Expense,Shopping,Clothing & Apparel
Ferrero Rocher,Expense,Food & Dining,Snacks & Drinks
Firehouse Subs,Expense,Food & Dining,Fast Food
Fish and Chips,Expense,Food & Dining,Restaurants
Five Guys,Expense,Food & Dining,Fast Food
Food 4 Less,Expense,Food & Dining,Groceries
Food Lion,Expense,Food & Dining,Groceries
Food Truck,Expense,Food & Dining,Restaurants
Foodora,Expense,Food & Dining,Food Delivery
Foodpanda,Expense,Food & Dining,Food Delivery
Foot Locker,Expense,Shopping,Clothing & Apparel
Ford,Expense,Shopping,Electronics
Forever 21,Expense,Shopping,Clothing & Apparel
Fossil,Expense,Shopping,Clothing & Apparel
Four Seasons,Expense,Travel,Hotels & Lodging
Frontier Airlines,Expense,Travel,Airlines
Frozen Yogurt,Expense,Food & Dining,Ice Cream & Yogurt
Fubo,Expense,Entertainment,Streaming Video
Funimation,Expense,Entertainment,Streaming Video
Føtex,Expense,Food & Dining,Groceries
GEICO,Expense,Housing & Utilities,Insurance
GERMAN DONER KEBAB,Expense,Food & Dining,Fast Food
GERTRUDE HAWK CHOCOLATE,Expense,Food & Dining,Snacks & Drinks
GIRL SCOUTS,Expense,Donations & Gifts,Charity & Donations
GLOBAL PLUMBING,Expense,Housing & Utilities,Home Services
GLOW EXPRESS CAR WASH,Expense,Housing & Utilities,Home Services
GOLDIE LOX,Expense,Food & Dining,Fast Food
GOOD FOOD BY UZMA,Expense,Food & Dining,Restaurants
GOOGLE,Expense,Technology,Software & SaaS
GOOGLE YOUTUBE,Expense,Entertainment,Streaming Video
GRAMMARLY,Expense,Technology,Software & SaaS
GRUBHUB GOOD FOOD BY UZMA,Expense,Food & Dining,Restaurants
GRUBHUB JERSEY MIKES,Expense,Food & Dining,Restaurants
GRUBHUB MCDONALDS,Expense,Food & Dining,Restaurants
GRUBHUB ROUND PIE PIZZA,Expense,Food & Dining,Restaurants
GUARDIAN TECHNOLOGIES,Expense,Shopping,Home & Garden
GUM.CO,Expense,Subscriptions,Media & Lifestyle
GYRO,Expense,Food & Dining,Restaurants
GameStop,Expense,Entertainment,Gaming
Gamestop,Expense,Entertainment,Gaming
Gap,Expense,Shopping,Clothing & Apparel
Gelateria Artigianale,Expense,Food & Dining,Ice Cream & Yogurt
Gelato Dreams,Expense,Food & Dining,Ice Cream & Yogurt
Gett,Expense,Transportation,Rideshare
GhostPath,Expense,Technology,VPN & Privacy
GhostVPN,Expense,Technology,VPN & Privacy
Giant,Expense,Food & Dining,Groceries
Giant Eagle,Expense,Food & Dining,Groceries
GitHub,Expense,Technology,Software & SaaS
Globus,Expense,Food & Dining,Groceries
Glovo,Expense,Food & Dining,Food Delivery
GoDaddy,Expense,Technology,Software & SaaS
Gojek,Expense,Transportation,Rideshare
Goodreads,Expense,Shopping,Books & Media
Google,Expense,Technology,Software & SaaS
Grab,Expense,Transportation,Rideshare
Grammarly,Expense,Technology,Software & SaaS
Grand Hyatt,Expense,Travel,Hotels & Lodging
Groupon,Expense,Shopping,Online Marketplace
GrubHub,Expense,Food & Dining,Food Delivery
Grubhub,Expense,Food & Dining,Food Delivery
Gucci,Expense,Shopping,Clothing & Apparel
Gulfstream Park,Expense,Entertainment,Sports & Recreation
Gyros Galore,Expense,Food & Dining,Restaurants
H & M,Expense,Shopping,Clothing & Apparel
H&M,Expense,Shopping,Clothing & Apparel
H-E-B,Expense,Food & Dining,Groceries
HALAL EATZ,Expense,Food & Dining,Restaurants
HAMPTON INNS,Expense,Travel,Hotels & Lodging
HBO,Expense,Entertainment,Streaming Video
HDFC BANK LTD.,Expense,Financial Services,Banking Fees
HEAD OVER HEELS,Expense,Health & Wellness,Beauty & Spa
HERITAGE AMUSEMENT,Expense,Entertainment,Amusement & Parks
HERSHEY PARK,Expense,Entertainment,Amusement & Parks
HOCH ORTHODONTICS,Expense,Health & Wellness,Medical & Dental
HOLISTIC HEALTH LABS,Expense,Health & Wellness,Health Products
HOME DEPOT,Expense,Shopping,Home & Garden
HOMEGOODS,Expense,Shopping,General Retail
HONDA,Expense,Transportation,Car Service & Parts
HP,Expense,Shopping,Electronics
HUMA BEAUTY SALON,Expense,Health & Wellness,Beauty & Spa
HYUNDAI BLUE LINK,Expense,Transportation,Car Service & Parts
HYUNDAI SERVICE,Expense,Transportation,Car Service & Parts
HandyTools,Expense,Shopping,Home & Garden
Hannaford,Expense,Food & Dining,Groceries
Harris Teeter,Expense,Food & Dining,Groceries
Hawaiian Airlines,Expense,Travel,Airlines
Hemköp,Expense,Food & Dining,Groceries
Hertz,Expense,Travel,Car Rental
Hibbett Sports,Expense,Shopping,Sporting Goods
HideMyAss,Expense,Technology,VPN & Privacy
Hilton,Expense,Travel,Hotels & Lodging
Hilton Garden Inn,Expense,Travel,Hotels & Lodging
Hobby Store,Expense,Kids & Family,Toys & Activities
Holiday Station Stores,Expense,Food & Dining,Groceries
Hollister,Expense,Shopping,Clothing & Apparel
Home Depot,Expense,Shopping,Home & Garden
HotSpot Shield,Expense,Technology,VPN & Privacy
Hukn,Income,Transfers,Deposit
Hulu,Expense,Entertainment,Streaming Video
Hy-Vee,Expense,Food & Dining,Groceries
Hyatt,Expense,Travel,Hotels & Lodging
Hyatt Regency,Expense,Travel,Hotels & Lodging
IBBY'S FALAFEL,Expense,Food & Dining,Restaurants
IBM,Expense,Technology,Software & SaaS
ICA,Expense,Food & Dining,Groceries
ICE CREAM MONSTER,Expense,Food & Dining,Ice Cream & Yogurt
ICECREAM TRUCK,Expense,Food & Dining,Ice Cream & Yogurt
ICOM,Expense,Technology,Hardware
ICY MELON,Expense,Food & Dining,Ice Cream & Yogurt
IGA,Expense,Food & Dining,Groceries
IHOP,Expense,Food & Dining,Restaurants
IKEA,Expense,Shopping,Home & Garden
IMAMIA MEDICS,Expense,Health & Wellness,Medical & Dental
IPVanish,Expense,Technology,VPN & Privacy
IXL,Expense,Education,Online Learning
In-N-Out Burger,Expense,Food & Dining,Fast Food
Indomaret,Expense,Food & Dining,Groceries
Ingles Market,Expense,Food & Dining,Groceries
Instacart,Expense,Food & Dining,Food Delivery
Intel,Expense,Shopping,Electronics
Intercontinental,Expense,Travel,Hotels & Lodging
Intermarché,Expense,Food & Dining,Groceries
Intuit,Expense,Technology,Software & SaaS
J & G SALON,Expense,Health & Wellness,Beauty & Spa
J. Crew,Expense,Shopping,Clothing & Apparel
J.Crew,Expense,Shopping,Clothing & Apparel
JCPenney,Expense,Shopping,Clothing & Apparel
JENKINSON'S AQUARIUM,Expense,Entertainment,Amusement & Parks
JENKINSON'S CANDY,Expense,Food & Dining,Fast Food
JENKINSON'S PAVILLION,Expense,Entertainment,Amusement & Parks
JERSEY COAST NEPHROLOGY,Expense,Health & Wellness,Medical & Dental
JIN SOY,Expense,Food & Dining,Restaurants
JOSTENS INC.,Expense,Education,Tuition & School
JOYCE CREAMERY,Expense,Food & Dining,Ice Cream & Yogurt
JUICE AND DESSERT,Expense,Food & Dining,Snacks & Drinks
JUSTGIVING.COM,Expense,Donations & Gifts,Charity & Donations
Jaans Pizza,Expense,Food & Dining,Fast Food
Jack in the Box,Expense,Food & Dining,Fast Food
Jamba Juice,Expense,Food & Dining,Snacks & Drinks
Jason's Deli,Expense,Food & Dining,Restaurants
Jerico's Dairy,Expense,Shopping,General Retail
Jerry's PC Enterprise,Expense,Shopping,General Retail
Jersey Mike's,Expense,Food & Dining,Restaurants
JetBlue,Expense,Travel,Airlines
JetBrains,Expense,Technology,Software & SaaS
Jewel-Osco,Expense,Food & Dining,Groceries
Jimmy John's,Expense,Food & Dining,Fast Food
Jumbo,Expense,Food & Dining,Groceries
Jumia Food,Expense,Food & Dining,Food Delivery
Just Eat,Expense,Food & Dining,Food Delivery
KABAB PARADISE,Expense,Food & Dining,Restaurants
KANDAHAR,Expense,Food & Dining,Restaurants
KARAHI HOUSE,Expense,Food & Dining,Restaurants
KENDALL HUNT PUBLISHING,Expense,Education,Books & Supplies
KFC,Expense,Food & Dining,Fast Food
KHAN ACADEMY,Expense,Education,Online Learning
KHANACADEMY,Expense,Education,Online Learning
KIDS FOOT LOCKER,Expense,Shopping,Clothing & Apparel
KIDZDENT,Expense,Health & Wellness,Medical & Dental
KINDLE,Expense,Subscriptions,Media & Lifestyle
KING SWEETS,Expense,Food & Dining,Snacks & Drinks
KOHL'S,Expense,Shopping,Clothing & Apparel
KUUQA Kids Art,Expense,Kids & Family,Toys & Activities
Kakao T,Expense,Transportation,Rideshare
Kaufland,Expense,Food & Dining,Groceries
Kebab King Istanbul,Expense,Food & Dining,Restaurants
Kohl's,Expense,Shopping,Clothing & Apparel
Krispy Kreme,Expense,Food & Dining,Fast Food
Kroger,Expense,Food & Dining,Groceries
Kwik Trip,Expense,Food & Dining,Groceries
Kwik-E-Mart,Expense,Food & Dining,Groceries
L.L.Bean,Expense,Shopping,Clothing & Apparel
LA BON BAKE SHOPPES,Expense,Food & Dining,Bakery & Desserts
LA CONTESSA,Expense,Food & Dining,Restaurants
LA FITNESS,Expense,Health & Wellness,Fitness & Gym
LAAM TECHNOLOGIES,Expense,Entertainment,Movies & Events
LAHORE RESTAURANT,Expense,Food & Dining,Restaurants
LEARNER.COM,Expense,Education,Online Learning
LEETCODE.COM,Expense,Education,Online Learning
LEGOLAND DISCOVERY,Expense,Entertainment,Amusement & Parks
LEVELS,Expense,Health & Wellness,Health Products
LG,Expense,Shopping,Electronics
LIBERTY SCIENCE CENTER,Expense,Entertainment,Amusement & Parks
LMXAC,Income,Transfers,Deposit
LOTTE PLAZA,Expense,Food & Dining,Groceries
LOVELY,Expense,Shopping,General Retail
LOWES,Expense,Shopping,Home & Garden
LS SKATE PRO INC.,Expense,Shopping,Sporting Goods
LULU.COM,Expense,Personal Services,Printing & Shipping
LUMINOCITY,Expense,Entertainment,Amusement & Parks
LastPass,Expense,Technology,VPN & Privacy
Lawson,Expense,Food & Dining,Groceries
Leclerc,Expense,Food & Dining,Groceries
Lenovo,Expense,Shopping,Electronics
Lidl,Expense,Food & Dining,Groceries
LinkedIn,Expense,Technology,Software & SaaS
Little Caesars,Expense,Food & Dining,Fast Food
Loblaws,Expense,Food & Dining,Groceries
Local Coffee Brewery,Expense,Food & Dining,Coffee & Tea
Lotte Mart,Expense,Food & Dining,Groceries
Louis Vuitton,Expense,Shopping,Clothing & Apparel
Love's Travel Stops,Expense,Transportation,Gas & Fuel
Lowe's,Expense,Shopping,Home & Garden
Lulu Hypermarket,Expense,Food & Dining,Groceries
Lululemon,Expense,Shopping,Clothing & Apparel
Lyft,Expense,Transportation,Rideshare
M CITY DOLLAR,Expense,Shopping,General Retail
MACSALES.COM,Expense,Shopping,Electronics
MARS HALAL,Expense,Food & Dining,Groceries
MARSHALLS,Expense,Shopping,General Retail
MASSAGE ENVY,Expense,Health & Wellness,Beauty & Spa
MASSAGELUXE,Expense,Health & Wellness,Beauty & Spa
MAZA RESTAURANTS,Expense,Food & Dining,Restaurants
MAZUMDER ENTERTAINMENT,Expense,Entertainment,Movies & Events
MCDONALD'S,Expense,Food & Dining,Fast Food
MDC PEETS,Expense,Food & Dining,Coffee & Tea
MDC WENDYS,Expense,Food & Dining,Fast Food
MDM JERRYS,Expense,Food & Dining,Fast Food
MEAL MAGIC,Expense,Food & Dining,Restaurants
MICHAELS,Expense,Shopping,General Retail
MIDDLESEX COUNTY COLLEGE,Expense,Education,Tuition & School
MINISO,Expense,Shopping,General Retail
MINUTE CLINIC,Expense,Health & Wellness,Medical & Dental
MISEN,Expense,Subscriptions,Media & Lifestyle
MONMOUTH COUNTY PARK,Expense,Entertainment,Sports & Recreation
MOTLEY.FOOL.COM,Expense,Financial Services,Investment
MSI,Expense,Shopping,Electronics
MUBI,Expense,Entertainment,Streaming Video
MYQ,Expense,Technology,Software & SaaS
Macy's,Expense,Shopping,Clothing & Apparel
Magnit,Expense,Food & Dining,Groceries
Mandarin Oriental,Expense,Travel,Hotels & Lodging
Mango,Expense,Shopping,Clothing & Apparel
Marathon,Expense,Transportation,Gas & Fuel
Marriott,Expense,Travel,Hotels & Lodging
Marshalls,Expense,Shopping,General Retail
Mattel,Expense,Shopping,Electronics
Maverik,Expense,Transportation,Gas & Fuel
Maxi,Expense,Food & Dining,Groceries
McAlister's Deli,Expense,Food & Dining,Restaurants
McDonald's,Expense,Food & Dining,Fast Food
Meijer,Expense,Food & Dining,Groceries
Menchie's,Expense,Food & Dining,Ice Cream & Yogurt
Mercadona,Expense,Food & Dining,Groceries
Metro,Expense,Food & Dining,Groceries
Michaels,Expense,Shopping,General Retail
Microsoft,Expense,Shopping,Electronics
Mighty Pizza,Expense,Food & Dining,Fast Food
Migros,Expense,Food & Dining,Groceries
